#queryIndex	queryItem	stringId	preferredName	annotation
13	TBCB	9606.ENSP00000221855	TBCB	Tubulin-folding cofactor B; Binds to alpha-tubulin folding intermediates after their interaction with cytosolic chaperonin in the pathway leading from newly synthesized tubulin to properly folded heterodimer. Involved in regulation of tubulin heterodimer dissociation. May function as a negative regulator of axonal growth (By similarity); Belongs to the TBCB family
14	CLU	9606.ENSP00000315130	CLU	Clusterin; Isoform 1 functions as extracellular chaperone that prevents aggregation of nonnative proteins. Prevents stress- induced aggregation of blood plasma proteins. Inhibits formation of amyloid fibrils by APP, APOC2, B2M, CALCA, CSN3, SNCA and aggregation-prone LYZ variants (in vitro). Does not require ATP. Maintains partially unfolded proteins in a state appropriate for subsequent refolding by other chaperones, such as HSPA8/HSC70. Does not refold proteins by itself. Binding to cell surface receptors triggers internalization of the chaperone-client complex and subsequent lysosom [...] 
15	COL1A2	9606.ENSP00000297268	COL1A2	Collagen alpha-2(I) chain; Type I collagen is a member of group I collagen (fibrillar forming collagen); Belongs to the fibrillar collagen family
17	EIF4E	9606.ENSP00000425561	EIF4E	Eukaryotic translation initiation factor 4E
18	KRT18	9606.ENSP00000373487	KRT18	Keratin, type I cytoskeletal 18; Involved in the uptake of thrombin-antithrombin complexes by hepatic cells (By similarity). When phosphorylated, plays a role in filament reorganization. Involved in the delivery of mutated CFTR to the plasma membrane. Together with KRT8, is involved in interleukin-6 (IL-6)-mediated barrier protection; Keratins, type I
19	SYNGR3	9606.ENSP00000248121	SYNGR3	Synaptogyrin-3; May play a role in regulated exocytosis. May indirectly regulate the activity of the plasma membrane dopamine transporter SLC6A3 and thereby regulate dopamine transport back from the synaptic cleft into the presynaptic terminal; Belongs to the synaptogyrin family
20	RGS17	9606.ENSP00000356194	RGS17	Regulator of G-protein signaling 17; Regulates G protein-coupled receptor signaling cascades, including signaling via muscarinic acetylcholine receptor CHRM2 and dopamine receptor DRD2. Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits, thereby driving them into their inactive GDP-bound form. Binds selectively to GNAZ and GNAI2 subunits, accelerates their GTPase activity and regulates their signaling activities. Negatively regulates mu-opioid receptor-mediated activation of the G-proteins (By similarity)
21	IL32	9606.ENSP00000432218	IL32	Interleukin-32; Interleukin 32; Interleukins
22	AHRR	9606.ENSP00000323816	AHRR	Aryl hydrocarbon receptor repressor; Mediates dioxin toxicity and is involved in regulation of cell growth and differentiation. Represses the transcription activity of AHR by competing with this transcription factor for heterodimer formation with the ARNT and subsequently binding to the xenobiotic response element (XRE) sequence present in the promoter regulatory region of variety of genes. Represses CYP1A1 by binding the XRE sequence and recruiting ANKRA2, HDAC4 and/or HDAC5. Autoregulates its expression by associating with its own XRE site; Basic helix-loop-helix proteins
23	GFPT2	9606.ENSP00000253778	GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2; Controls the flux of glucose into the hexosamine pathway. Most likely involved in regulating the availability of precursors for N- and O-linked glycosylation of proteins
24	FAM177A1	9606.ENSP00000280987	FAM177A1	Protein FAM177A1; Family with sequence similarity 177 member A1
25	SAMD9L	9606.ENSP00000326247	SAMD9L	Sterile alpha motif domain-containing protein 9-like; May be involved in endosome fusion. Mediates down- regulation of growth factor signaling via internalization of growth factor receptors; Sterile alpha motif domain containing
26	CASP1	9606.ENSP00000433138	CASP1	Caspase-1; Thiol protease that cleaves IL-1 beta between an Asp and an Ala, releasing the mature cytokine which is involved in a variety of inflammatory processes. Important for defense against pathogens. Cleaves and activates sterol regulatory element binding proteins (SREBPs). Can also promote apoptosis. Upon inflammasome activation, during DNA virus infection but not RNA virus challenge, controls antiviral immunity through the cleavage of MB21D1/cGAS, rendering it inactive; Belongs to the peptidase C14A family
27	JAK3	9606.ENSP00000391676	JAK3	Tyrosine-protein kinase JAK3; Non-receptor tyrosine kinase involved in various processes such as cell growth, development, or differentiation. Mediates essential signaling events in both innate and adaptive immunity and plays a crucial role in hematopoiesis during T-cells development. In the cytoplasm, plays a pivotal role in signal transduction via its association with type I receptors sharing the common subunit gamma such as IL2R, IL4R, IL7R, IL9R, IL15R and IL21R. Following ligand binding to cell surface receptors, phosphorylates specific tyrosine residues on the cytoplasmic tails o [...] 
28	IFT27	9606.ENSP00000393541	IFT27	Intraflagellar transport protein 27 homolog; Small GTPase-like component of the intraflagellar transport (IFT) complex B that promotes the exit of the BBSome complex from cilia via its interaction with ARL6. Not involved in entry of the BBSome complex into cilium. Prevents aggregation of GTP-free ARL6. Required for hedgehog signaling. Forms a subcomplex within the IFT complex B with IFT25 (By similarity)
29	IFI44L	9606.ENSP00000359787	IFI44L	Interferon-induced protein 44-like; Exhibits a low antiviral activity against hepatitis C virus; Belongs to the IFI44 family
30	FLT1	9606.ENSP00000282397	FLT1	Vascular endothelial growth factor receptor 1; Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFA, VEGFB and PGF, and plays an essential role in the development of embryonic vasculature, the regulation of angiogenesis, cell survival, cell migration, macrophage function, chemotaxis, and cancer cell invasion. May play an essential role as a negative regulator of embryonic angiogenesis by inhibiting excessive proliferation of endothelial cells. Can promote endothelial cell proliferation, survival and angiogenesis in adulthood. Its function in promoting cell proliferati [...] 
31	BCAR3	9606.ENSP00000359264	BCAR3	Breast cancer anti-estrogen resistance protein 3; May act as an adapter protein and couple activated growth factor receptors to a signaling pathway that regulates the proliferation in breast cancer cells. When overexpressed, it confers anti-estrogen resistance in breast cancer cell lines. May also be regulated by cellular adhesion to extracellular matrix proteins; NSP adaptor proteins
32	AIF1	9606.ENSP00000365227	AIF1	Allograft inflammatory factor 1; Actin-binding protein that enhances membrane ruffling and RAC activation. Enhances the actin-bundling activity of LCP1. Binds calcium. Plays a role in RAC signaling and in phagocytosis. May play a role in macrophage activation and function. Promotes the proliferation of vascular smooth muscle cells and of T- lymphocytes. Enhances lymphocyte migration. Plays a role in vascular inflammation; EF-hand domain containing
33	SLC25A19	9606.ENSP00000385312	SLC25A19	Mitochondrial thiamine pyrophosphate carrier; Mitochondrial transporter mediating uptake of thiamine pyrophosphate (ThPP) into mitochondria; Solute carriers
34	INPP4B	9606.ENSP00000425487	INPP4B	Type II inositol 3,4-bisphosphate 4-phosphatase; Catalyzes the hydrolysis of the 4-position phosphate of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4- trisphosphate and inositol 1,4-bisphosphate
35	PAFAH1B1	9606.ENSP00000380378	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha; Required for proper activation of Rho GTPases and actin polymerization at the leading edge of locomoting cerebellar neurons and postmigratory hippocampal neurons in response to calcium influx triggered via NMDA receptors. Non-catalytic subunit of an acetylhydrolase complex which inactivates platelet- activating factor (PAF) by removing the acetyl group at the SN-2 position (By similarity). Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein-mediated microtubule slid [...] 
36	RBP1	9606.ENSP00000232219	RBP1	Retinol-binding protein 1; Cytoplasmic retinol-binding protein. Accepts retinol from the transport protein STRA6, and thereby contributes to retinol uptake, storage and retinoid homeostasis; Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family
37	MX1	9606.ENSP00000381601	MX1	Interferon-induced GTP-binding protein Mx1; Interferon-induced dynamin-like GTPase with antiviral activity against a wide range of RNA viruses and some DNA viruses. Its target viruses include negative-stranded RNA viruses and HBV through binding and inactivation of their ribonucleocapsid. May also antagonize reoviridae and asfarviridae replication. Inhibits thogoto virus (THOV) replication by preventing the nuclear import of viral nucleocapsids. Inhibits La Crosse virus (LACV) replication by sequestering viral nucleoprotein in perinuclear complexes, preventing genome amplification, bud [...] 
38	EIF4E	9606.ENSP00000425561	EIF4E	Eukaryotic translation initiation factor 4E
39	CD109	9606.ENSP00000287097	CD109	CD109 antigen; Modulates negatively TGFB1 signaling in keratinocytes; Belongs to the protease inhibitor I39 (alpha-2- macroglobulin) family
40	ZNF165	9606.ENSP00000366542	ZNF165	Zinc finger protein 165; May be involved in transcriptional regulation; Belongs to the krueppel C2H2-type zinc-finger protein family
41	NOS3	9606.ENSP00000297494	NOS3	Nitric-oxide synthase, endothelial; Nitric oxide synthase, endothelial; Produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway. NO mediates vascular endothelial growth factor (VEGF)-induced angiogenesis in coronary vessels and promotes blood clotting through the activation of platelets
42	GJA4	9606.ENSP00000343676	GJA4	Gap junction alpha-4 protein; One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell
43	TMEM107	9606.ENSP00000314116	TMEM107	Transmembrane protein 107; Plays a role in cilia formation and embryonic patterning. Requires for normal Sonic hedgehog (Shh) signaling in the neural tube and acts in combination with GLI2 and GLI3 to pattern ventral and intermediate neuronal cell types (By similarity). During ciliogenesis regulates the ciliary transition zone localization of some MKS complex proteins
44	CLN8	9606.ENSP00000328182	CLN8	Protein CLN8; Could play a role in cell proliferation during neuronal differentiation and in protection against cell death; TLC domain containing
45	CLU	9606.ENSP00000315130	CLU	Clusterin; Isoform 1 functions as extracellular chaperone that prevents aggregation of nonnative proteins. Prevents stress- induced aggregation of blood plasma proteins. Inhibits formation of amyloid fibrils by APP, APOC2, B2M, CALCA, CSN3, SNCA and aggregation-prone LYZ variants (in vitro). Does not require ATP. Maintains partially unfolded proteins in a state appropriate for subsequent refolding by other chaperones, such as HSPA8/HSC70. Does not refold proteins by itself. Binding to cell surface receptors triggers internalization of the chaperone-client complex and subsequent lysosom [...] 
46	GPR157	9606.ENSP00000366628	GPR157	G-protein coupled receptor 157; Orphan receptor that promotes neuronal differentiation of radial glial progenitors (RGPs). The activity of this receptor is mediated by a G(q)-protein that activates a phosphatidylinositol-calcium second messenger; 7TM orphan receptors
47	G0S2	9606.ENSP00000355996	G0S2	G0/G1 switch protein 2; Promotes apoptosis by binding to BCL2, hence preventing the formation of protective BCL2-BAX heterodimers
48	SPOCK2	9606.ENSP00000362201	SPOCK2	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican); Testican-2; May participate in diverse steps of neurogenesis. Binds calcium; SPARC family
49	IFIT2	9606.ENSP00000360891	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2; IFN-induced antiviral protein which inhibits expression of viral messenger RNAs lacking 2'-O-methylation of the 5' cap. The ribose 2'-O-methylation would provide a molecular signature to distinguish between self and non-self mRNAs by the host during viral infection. Viruses evolved several ways to evade this restriction system such as encoding their own 2'-O-methylase for their mRNAs or by stealing host cap containing the 2'-O- methylation (cap snatching mechanism). Binds AU-rich viral RNAs, with or without 5' triphosphorylat [...] 
50	GASK1B	9606.ENSP00000377396	FAM198B	Protein FAM198B; Family with sequence similarity 198 member B; Belongs to the FAM198 family
51	MMP10	9606.ENSP00000279441	MMP10	Matrix metalloproteinase-10 (stromelysin 2); Stromelysin-2; Can degrade fibronectin, gelatins of type I, III, IV, and V; weakly collagens III, IV, and V. Activates procollagenase; Belongs to the peptidase M10A family
52	PLOD1	9606.ENSP00000196061	PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1; Part of a complex composed of PLOD1, P3H3 and P3H4 that catalyzes hydroxylation of lysine residues in collagen alpha chains and is required for normal assembly and cross-linkling of collagen fibrils (By similarity). Forms hydroxylysine residues in -Xaa-Lys-Gly- sequences in collagens. These hydroxylysines serve as sites of attachment for carbohydrate units and are essential for the stability of the intermolecular collagen cross-links (Probable)
53	FAM167B	9606.ENSP00000362684	FAM167B	Protein FAM167B; Family with sequence similarity 167 member B; Belongs to the FAM167 (SEC) family
55	CXCR6	9606.ENSP00000395704	CXCR6	C-X-C chemokine receptor type 6; Receptor for the C-X-C chemokine CXCL16. Used as a coreceptor by SIVs and by strains of HIV-2 and m-tropic HIV-1
56	TMEM256-PLSCR3	9606.ENSP00000438547	PLSCR3	TMEM256-PLSCR3 readthrough; Phospholipid scramblase 3; May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane. May play a central role in the initiation of fibrin clot formation, in the activation of mast cells and in the recognition of apoptotic and injured cells by the reticuloendothelial system. Seems to play a role in apoptosis, through translocation of cardiolipin from the inner to the outer mitochondrial membrane which promotes BID recruitment a [...] 
57	MBNL3	9606.ENSP00000359890	MBNL3	Muscleblind-like protein 3; Mediates pre-mRNA alternative splicing regulation. Acts either as activator or repressor of splicing on specific pre-mRNA targets. Inhibits cardiac troponin-T (TNNT2) pre-mRNA exon inclusion but induces insulin receptor (IR) pre-mRNA exon inclusion in muscle. Antagonizes the alternative splicing activity pattern of CELF proteins. May play a role in myotonic dystrophy pathophysiology (DM). Could inhibit terminal muscle differentiation, acting at approximately the time of myogenin induction; Zinc fingers CCCH-type
58	P2RY1	9606.ENSP00000304767	P2RY1	P2Y purinoceptor 1; Receptor for extracellular adenine nucleotides such as ATP and ADP. In platelets binding to ADP leads to mobilization of intracellular calcium ions via activation of phospholipase C, a change in platelet shape, and probably to platelet aggregation; Belongs to the G-protein coupled receptor 1 family
59	GASK1B	9606.ENSP00000377396	FAM198B	Protein FAM198B; Family with sequence similarity 198 member B; Belongs to the FAM198 family
60	TRIM14	9606.ENSP00000344208	TRIM14	Tripartite motif-containing protein 14; Plays a role in the innate immune defense against viruses. Facilitates the type I IFN response by interacting with MAVS at the outer mitochondria membrane and thereby recruiting NF- kappa-B essential modulator IKBKG/NEMO to the MAVS signalosome, leading to the activation of both the IFN regulatory factor 3/IRF3 and NF-kappa-B pathways. Positively regulates the cGAS-induced type I interferon signaling pathway by stabilizing cGAS/MB21D1 and inhibiting its autophagic degradation; Belongs to the TRIM/RBCC family
61	IFITM1	9606.ENSP00000386187	IFITM1	Interferon-induced transmembrane protein 1; IFN-induced antiviral protein which inhibits the entry of viruses to the host cell cytoplasm, permitting endocytosis, but preventing subsequent viral fusion and release of viral contents into the cytosol. Active against multiple viruses, including influenza A virus, SARS coronavirus (SARS-CoV), Marburg virus (MARV), Ebola virus (EBOV), Dengue virus (DNV), West Nile virus (WNV), human immunodeficiency virus type 1 (HIV-1) and hepatitis C virus (HCV). Can inhibit: influenza virus hemagglutinin protein- mediated viral entry, MARV and EBOV GP1,2- [...] 
62	IFI6	9606.ENSP00000342513	IFI6	Interferon alpha-inducible protein 6; Plays a role in apoptosis, negatively regulating the intrinsinc apoptotic signaling pathway and TNFSF10-induced apoptosis . However, it has also been shown to have a pro-apoptotic activity . Has an antiviral activity towards hepatitis C virus/HCV by inhibiting the EGFR signaling pathway, which activation is required for entry of the virus into cells 
63	MEST	9606.ENSP00000223215	MEST	Mesoderm-specific transcript homolog protein; Mesoderm specific transcript; Belongs to the AB hydrolase superfamily
64	SAMHD1	9606.ENSP00000262878	SAMHD1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1; Host restriction nuclease involved in defense response to virus. Has dNTPase activity and reduces cellular dNTP levels to levels too low for retroviral reverse transcription to occur. Blocks early-stage virus replication in dendritic and other myeloid cells. Likewise, suppresses LINE-1 retrotransposon activity. May play a role in mediating proinflammatory responses to TNF-alpha signaling. Has ribonuclease activity, acting on single-stranded RNA. This activity is essential for H1V-1 restriction; Sterile alpha motif domain containing
65	LGMN	9606.ENSP00000376911	LGMN	Legumain; Has a strict specificity for hydrolysis of asparaginyl bonds. Can also cleave aspartyl bonds slowly, especially under acidic conditions. Required for normal lysosomal protein degradation in renal proximal tubules. Required for normal degradation of internalized EGFR. Plays a role in the regulation of cell proliferation via its role in EGFR degradation (By similarity). May be involved in the processing of proteins for MHC class II antigen presentation in the lysosomal/endosomal system; Belongs to the peptidase C13 family
66	TSPAN2	9606.ENSP00000358529	TSPAN2	Tetraspanin-2; May play a role in signalling in oligodendrocytes in the early stages of their terminal differentiation into myelin-forming glia and may also function in stabilizing the mature sheath; Belongs to the tetraspanin (TM4SF) family
67	OAS1	9606.ENSP00000388001	OAS1	2'-5'-oligoadenylate synthetase 1; 2'-5'-oligoadenylate synthase 1; Interferon-induced, dsRNA-activated antiviral enzyme which plays a critical role in cellular innate antiviral response. In addition, it may also play a role in other cellular processes such as apoptosis, cell growth, differentiation and gene regulation. Synthesizes higher oligomers of 2'-5'-oligoadenylates (2-5A) from ATP which then bind to the inactive monomeric form of ribonuclease L (RNase L) leading to its dimerization and subsequent activation. Activation of RNase L leads to degradation of cellular as well as vira [...] 
68	SLC2A12	9606.ENSP00000275230	SLC2A12	Solute carrier family 2, facilitated glucose transporter member 12; Facilitative glucose transporter; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family. Glucose transporter subfamily
69	ETS2	9606.ENSP00000353344	ETS2	Ets proto-oncogene 2, transcription factor; Protein C-ets-2; Transcription factor activating transcription. Binds specifically the DNA GGAA/T core motif (Ets-binding site or EBS) in gene promoters and stimulates transcription
70	NTNG2	9606.ENSP00000376921	NTNG2	Netrin-G2; Involved in controlling patterning and neuronal circuit formation at the laminar, cellular, subcellular and synaptic levels. Promotes neurite outgrowth of both axons and dendrites; Netrins
71	OLR1	9606.ENSP00000309124	OLR1	Oxidized low-density lipoprotein receptor 1; Receptor that mediates the recognition, internalization and degradation of oxidatively modified low density lipoprotein (oxLDL) by vascular endothelial cells. OxLDL is a marker of atherosclerosis that induces vascular endothelial cell activation and dysfunction, resulting in pro-inflammatory responses, pro- oxidative conditions and apoptosis. Its association with oxLDL induces the activation of NF-kappa-B through an increased production of intracellular reactive oxygen and a variety of pro- atherogenic cellular responses including a reductio [...] 
72	ATF3	9606.ENSP00000344352	ATF3	Cyclic AMP-dependent transcription factor ATF-3; This protein binds the cAMP response element (CRE) (consensus: 5'-GTGACGT[AC][AG]-3'), a sequence present in many viral and cellular promoters. Represses transcription from promoters with ATF sites. It may repress transcription by stabilizing the binding of inhibitory cofactors at the promoter. Isoform 2 activates transcription presumably by sequestering inhibitory cofactors away from the promoters; Basic leucine zipper proteins
73	RASGRP3	9606.ENSP00000384192	RASGRP3	Ras guanyl-releasing protein 3; Guanine nucleotide exchange factor (GEF) for Ras and Rap1; EF-hand domain containing
74	LDLRAD4	9606.ENSP00000352420	LDLRAD4	Low-density lipoprotein receptor class A domain-containing protein 4; Functions as a negative regulator of TGF-beta signaling and thereby probably plays a role in cell proliferation, differentiation, apoptosis, motility, extracellular matrix production and immunosuppression. In the canonical TGF-beta pathway, ZFYVE9/SARA recruits the intracellular signal transducer and transcriptional modulators SMAD2 and SMAD3 to the TGF-beta receptor. Phosphorylated by the receptor, SMAD2 and SMAD3 then form a heteromeric complex with SMAD4 that translocates to the nucleus to regulate transcription.  [...] 
75	MEDAG	9606.ENSP00000369849	MEDAG	Mesenteric estrogen-dependent adipogenesis protein; Involved in processes that promote adipocyte differentiation, lipid accumulation, and glucose uptake in mature adipocytes
76	ANGPT2	9606.ENSP00000314897	ANGPT2	Angiopoietin-2; Binds to TEK/TIE2, competing for the ANGPT1 binding site, and modulating ANGPT1 signaling. Can induce tyrosine phosphorylation of TEK/TIE2 in the absence of ANGPT1. In the absence of angiogenic inducers, such as VEGF, ANGPT2-mediated loosening of cell-matrix contacts may induce endothelial cell apoptosis with consequent vascular regression. In concert with VEGF, it may facilitate endothelial cell migration and proliferation, thus serving as a permissive angiogenic signal; Fibrinogen C domain containing
77	MLPH	9606.ENSP00000264605	MLPH	Melanophilin; Rab effector protein involved in melanosome transport. Serves as link between melanosome-bound RAB27A and the motor protein MYO5A
78	RBPJ	9606.ENSP00000345206	RBPJ	Recombining binding protein suppressor of hairless; Transcriptional regulator that plays a central role in Notch signaling, a signaling pathway involved in cell-cell communication that regulates a broad spectrum of cell-fate determinations. Acts as a transcriptional repressor when it is not associated with Notch proteins. When associated with some NICD product of Notch proteins (Notch intracellular domain), it acts as a transcriptional activator that activates transcription of Notch target genes. Probably represses or activates transcription via the recruitment of chromatin remodeling  [...] 
79	TNS1	9606.ENSP00000171887	TNS1	Tensin-1; Involved in fibrillar adhesion formation. May be involved in cell migration, cartilage development and in linking signal transduction pathways to the cytoskeleton; C2 tensin-type domain containing
80	ABL1	9606.ENSP00000361423	ABL1	Tyrosine-protein kinase ABL1; Non-receptor tyrosine-protein kinase that plays a role in many key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like WASF3 (involved in branch formation); ANXA1 (involved in membrane anchoring); DBN1, DBNL, CTTN, RAPH1 and ENAH (involved in signaling); or MAPT and PXN (microtubule-bindin [...] 
81	RAPH1	9606.ENSP00000316543	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1; Mediator of localized membrane signals. Implicated in the regulation of lamellipodial dynamics. Negatively regulates cell adhesion; Pleckstrin homology domain containing
82	IRF7	9606.ENSP00000380697	IRF7	Interferon regulatory factor 7; Key transcriptional regulator of type I interferon (IFN)-dependent immune responses and plays a critical role in the innate immune response against DNA and RNA viruses. Regulates the transcription of type I IFN genes (IFN-alpha and IFN-beta) and IFN-stimulated genes (ISG) by binding to an interferon-stimulated response element (ISRE) in their promoters. Can efficiently activate both the IFN-beta (IFNB) and the IFN-alpha (IFNA) genes and mediate their induction via both the virus-activated, MyD88- independent pathway and the TLR-activated, MyD88-dependent [...] 
83	SERPINE1	9606.ENSP00000223095	SERPINE1	Plasminogen activator inhibitor 1; Serine protease inhibitor. This inhibitor acts as 'bait' for tissue plasminogen activator, urokinase, protein C and matriptase-3/TMPRSS7. Its rapid interaction with PLAT may function as a major control point in the regulation of fibrinolysis; Serpin peptidase inhibitors
84	SORD	9606.ENSP00000267814	SORD	L-iditol 2-dehydrogenase; Sorbitol dehydrogenase; Converts sorbitol to fructose. Part of the polyol pathway that plays an important role in sperm physiology. May play a role in the sperm motility by providing an energetic source for sperm; Belongs to the zinc-containing alcohol dehydrogenase family
85	RSAD2	9606.ENSP00000371471	RSAD2	Radical S-adenosyl methionine domain-containing protein 2; Interferon-inducible iron-sulfur (4FE-4S) cluster- binding antiviral protein which plays a major role in the cell antiviral state induced by type I and type II interferon. Can inhibit a wide range of DNA and RNA viruses, including human cytomegalovirus (HCMV), hepatitis C virus (HCV), west Nile virus (WNV), dengue virus, sindbis virus, influenza A virus, sendai virus, vesicular stomatitis virus (VSV), and human immunodeficiency virus (HIV-1). Displays antiviral activity against influenza A virus by inhibiting the budding of the [...] 
86	AKAP12	9606.ENSP00000384537	AKAP12	A-kinase anchor protein 12; Anchoring protein that mediates the subcellular compartmentation of protein kinase A (PKA) and protein kinase C (PKC); A-kinase anchoring proteins
87	SPAG9	9606.ENSP00000262013	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4; The JNK-interacting protein (JIP) group of scaffold proteins selectively mediates JNK signaling by aggregating specific components of the MAPK cascade to form a functional JNK signaling module. Isoform 5 may play a role in spermatozoa-egg- interaction
88	MMP1	9606.ENSP00000322788	MMP1	Matrix metalloproteinase-1 (interstitial collagenase); Interstitial collagenase; Cleaves collagens of types I, II, and III at one site in the helical domain. Also cleaves collagens of types VII and X. In case of HIV infection, interacts and cleaves the secreted viral Tat protein, leading to a decrease in neuronal Tat's mediated neurotoxicity; Endogenous ligands
89	ITGAL	9606.ENSP00000349252	ITGAL	Integrin subunit alpha l; Integrin alpha-L; Integrin alpha-L/beta-2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin alpha-L/beta-2 is also a receptor for F11R. Involved in a variety of immune phenomena including leukocyte-endothelial cell interaction, cytotoxic T-cell mediated killing, and antibody dependent killing by granulocytes and monocytes. Contributes to natural killer cell cytotoxicity. Involved in leukocyte adhesion and transmigration of leukocytes including T-cells and neutrophils. Required for generation of common lymphoid progenitor cells in bone marrow, indicatin [...] 
90	SPHK1	9606.ENSP00000313681	SPHK1	Sphingosine kinase 1; Catalyzes the phosphorylation of sphingosine to form sphingosine 1-phosphate (SPP), a lipid mediator with both intra- and extracellular functions. Also acts on D-erythro- sphingosine and to a lesser extent sphinganine, but not other lipids, such as D,L-threo-dihydrosphingosine, N,N- dimethylsphingosine, diacylglycerol, ceramide, or phosphatidylinositol
