#queryIndex	queryItem	stringId	preferredName	annotation
27	SHROOM3	9606.ENSP00000296043	SHROOM3	Protein Shroom3; Controls cell shape changes in the neuroepithelium during neural tube closure. Induces apical constriction in epithelial cells by promoting the apical accumulation of F-actin and myosin II, and probably by bundling stress fibers. Induces apicobasal cell elongation by redistributing gamma-tubulin and directing the assembly of robust apicobasal microtubule arrays (By similarity); Belongs to the shroom family
28	EIF4E	9606.ENSP00000425561	EIF4E	Eukaryotic translation initiation factor 4E
29	LRRK2	9606.ENSP00000298910	LRRK2	Leucine-rich repeat serine/threonine-protein kinase 2; Positively regulates autophagy through a calcium- dependent activation of the CaMKK/AMPK signaling pathway. The process involves activation of nicotinic acid adenine dinucleotide phosphate (NAADP) receptors, increase in lysosomal pH, and calcium release from lysosomes. Together with RAB29, plays a role in the retrograde trafficking pathway for recycling proteins, such as mannose 6 phosphate receptor (M6PR), between lysosomes and the Golgi apparatus in a retromer-dependent manner. Regulates neuronal process morphology in the intact  [...] 
30	CD109	9606.ENSP00000287097	CD109	CD109 antigen; Modulates negatively TGFB1 signaling in keratinocytes; Belongs to the protease inhibitor I39 (alpha-2- macroglobulin) family
31	ZNF165	9606.ENSP00000366542	ZNF165	Zinc finger protein 165; May be involved in transcriptional regulation; Belongs to the krueppel C2H2-type zinc-finger protein family
32	TMEM107	9606.ENSP00000314116	TMEM107	Transmembrane protein 107; Plays a role in cilia formation and embryonic patterning. Requires for normal Sonic hedgehog (Shh) signaling in the neural tube and acts in combination with GLI2 and GLI3 to pattern ventral and intermediate neuronal cell types (By similarity). During ciliogenesis regulates the ciliary transition zone localization of some MKS complex proteins
33	CLN8	9606.ENSP00000328182	CLN8	Protein CLN8; Could play a role in cell proliferation during neuronal differentiation and in protection against cell death; TLC domain containing
34	GPR157	9606.ENSP00000366628	GPR157	G-protein coupled receptor 157; Orphan receptor that promotes neuronal differentiation of radial glial progenitors (RGPs). The activity of this receptor is mediated by a G(q)-protein that activates a phosphatidylinositol-calcium second messenger; 7TM orphan receptors
35	SPOCK2	9606.ENSP00000362201	SPOCK2	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican); Testican-2; May participate in diverse steps of neurogenesis. Binds calcium; SPARC family
36	PLOD1	9606.ENSP00000196061	PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1; Part of a complex composed of PLOD1, P3H3 and P3H4 that catalyzes hydroxylation of lysine residues in collagen alpha chains and is required for normal assembly and cross-linkling of collagen fibrils (By similarity). Forms hydroxylysine residues in -Xaa-Lys-Gly- sequences in collagens. These hydroxylysines serve as sites of attachment for carbohydrate units and are essential for the stability of the intermolecular collagen cross-links (Probable)
37	CXCR6	9606.ENSP00000395704	CXCR6	C-X-C chemokine receptor type 6; Receptor for the C-X-C chemokine CXCL16. Used as a coreceptor by SIVs and by strains of HIV-2 and m-tropic HIV-1
38	TMEM256-PLSCR3	9606.ENSP00000438547	PLSCR3	TMEM256-PLSCR3 readthrough; Phospholipid scramblase 3; May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane. May play a central role in the initiation of fibrin clot formation, in the activation of mast cells and in the recognition of apoptotic and injured cells by the reticuloendothelial system. Seems to play a role in apoptosis, through translocation of cardiolipin from the inner to the outer mitochondrial membrane which promotes BID recruitment a [...] 
39	MBNL3	9606.ENSP00000359890	MBNL3	Muscleblind-like protein 3; Mediates pre-mRNA alternative splicing regulation. Acts either as activator or repressor of splicing on specific pre-mRNA targets. Inhibits cardiac troponin-T (TNNT2) pre-mRNA exon inclusion but induces insulin receptor (IR) pre-mRNA exon inclusion in muscle. Antagonizes the alternative splicing activity pattern of CELF proteins. May play a role in myotonic dystrophy pathophysiology (DM). Could inhibit terminal muscle differentiation, acting at approximately the time of myogenin induction; Zinc fingers CCCH-type
40	P2RY1	9606.ENSP00000304767	P2RY1	P2Y purinoceptor 1; Receptor for extracellular adenine nucleotides such as ATP and ADP. In platelets binding to ADP leads to mobilization of intracellular calcium ions via activation of phospholipase C, a change in platelet shape, and probably to platelet aggregation; Belongs to the G-protein coupled receptor 1 family
41	IFITM1	9606.ENSP00000386187	IFITM1	Interferon-induced transmembrane protein 1; IFN-induced antiviral protein which inhibits the entry of viruses to the host cell cytoplasm, permitting endocytosis, but preventing subsequent viral fusion and release of viral contents into the cytosol. Active against multiple viruses, including influenza A virus, SARS coronavirus (SARS-CoV), Marburg virus (MARV), Ebola virus (EBOV), Dengue virus (DNV), West Nile virus (WNV), human immunodeficiency virus type 1 (HIV-1) and hepatitis C virus (HCV). Can inhibit: influenza virus hemagglutinin protein- mediated viral entry, MARV and EBOV GP1,2- [...] 
42	LGMN	9606.ENSP00000376911	LGMN	Legumain; Has a strict specificity for hydrolysis of asparaginyl bonds. Can also cleave aspartyl bonds slowly, especially under acidic conditions. Required for normal lysosomal protein degradation in renal proximal tubules. Required for normal degradation of internalized EGFR. Plays a role in the regulation of cell proliferation via its role in EGFR degradation (By similarity). May be involved in the processing of proteins for MHC class II antigen presentation in the lysosomal/endosomal system; Belongs to the peptidase C13 family
43	SLC39A8	9606.ENSP00000378310	SLC39A8	Solute carrier family 39 (zinc transporter), member 8; Zinc transporter ZIP8; Acts as a manganese and zinc influx transporter. Plays a role in manganese reabsorption in the proximal tubule of the kidney and in manganese uptake into the brain; Belongs to the ZIP transporter (TC 2.A.5) family
44	RFLNB	9606.ENSP00000331915	FAM101B	Refilin-B; Involved in the regulation of the perinuclear actin network and nuclear shape through interaction with filamins. Plays an essential role in the formation of cartilaginous skeletal elements
45	NTNG2	9606.ENSP00000376921	NTNG2	Netrin-G2; Involved in controlling patterning and neuronal circuit formation at the laminar, cellular, subcellular and synaptic levels. Promotes neurite outgrowth of both axons and dendrites; Netrins
46	OLR1	9606.ENSP00000309124	OLR1	Oxidized low-density lipoprotein receptor 1; Receptor that mediates the recognition, internalization and degradation of oxidatively modified low density lipoprotein (oxLDL) by vascular endothelial cells. OxLDL is a marker of atherosclerosis that induces vascular endothelial cell activation and dysfunction, resulting in pro-inflammatory responses, pro- oxidative conditions and apoptosis. Its association with oxLDL induces the activation of NF-kappa-B through an increased production of intracellular reactive oxygen and a variety of pro- atherogenic cellular responses including a reductio [...] 
48	LDLRAD4	9606.ENSP00000352420	LDLRAD4	Low-density lipoprotein receptor class A domain-containing protein 4; Functions as a negative regulator of TGF-beta signaling and thereby probably plays a role in cell proliferation, differentiation, apoptosis, motility, extracellular matrix production and immunosuppression. In the canonical TGF-beta pathway, ZFYVE9/SARA recruits the intracellular signal transducer and transcriptional modulators SMAD2 and SMAD3 to the TGF-beta receptor. Phosphorylated by the receptor, SMAD2 and SMAD3 then form a heteromeric complex with SMAD4 that translocates to the nucleus to regulate transcription.  [...] 
50	RBPJ	9606.ENSP00000345206	RBPJ	Recombining binding protein suppressor of hairless; Transcriptional regulator that plays a central role in Notch signaling, a signaling pathway involved in cell-cell communication that regulates a broad spectrum of cell-fate determinations. Acts as a transcriptional repressor when it is not associated with Notch proteins. When associated with some NICD product of Notch proteins (Notch intracellular domain), it acts as a transcriptional activator that activates transcription of Notch target genes. Probably represses or activates transcription via the recruitment of chromatin remodeling  [...] 
51	ATP6V0D2	9606.ENSP00000285393	ATP6V0D2	V-type proton ATPase subunit d 2; Subunit of the integral membrane V0 complex of vacuolar ATPase. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system. May play a role in coupling of proton transport and ATP hydrolysis (By similarity); V-type ATPases
52	TNS1	9606.ENSP00000171887	TNS1	Tensin-1; Involved in fibrillar adhesion formation. May be involved in cell migration, cartilage development and in linking signal transduction pathways to the cytoskeleton; C2 tensin-type domain containing
53	SECTM1	9606.ENSP00000269389	SECTM1	Secreted and transmembrane protein 1; May be involved in thymocyte signaling
54	ABL1	9606.ENSP00000361423	ABL1	Tyrosine-protein kinase ABL1; Non-receptor tyrosine-protein kinase that plays a role in many key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like WASF3 (involved in branch formation); ANXA1 (involved in membrane anchoring); DBN1, DBNL, CTTN, RAPH1 and ENAH (involved in signaling); or MAPT and PXN (microtubule-bindin [...] 
55	RAPH1	9606.ENSP00000316543	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1; Mediator of localized membrane signals. Implicated in the regulation of lamellipodial dynamics. Negatively regulates cell adhesion; Pleckstrin homology domain containing
56	SERPINE1	9606.ENSP00000223095	SERPINE1	Plasminogen activator inhibitor 1; Serine protease inhibitor. This inhibitor acts as 'bait' for tissue plasminogen activator, urokinase, protein C and matriptase-3/TMPRSS7. Its rapid interaction with PLAT may function as a major control point in the regulation of fibrinolysis; Serpin peptidase inhibitors
57	SORD	9606.ENSP00000267814	SORD	L-iditol 2-dehydrogenase; Sorbitol dehydrogenase; Converts sorbitol to fructose. Part of the polyol pathway that plays an important role in sperm physiology. May play a role in the sperm motility by providing an energetic source for sperm; Belongs to the zinc-containing alcohol dehydrogenase family
58	AKAP12	9606.ENSP00000384537	AKAP12	A-kinase anchor protein 12; Anchoring protein that mediates the subcellular compartmentation of protein kinase A (PKA) and protein kinase C (PKC); A-kinase anchoring proteins
59	APOL3	9606.ENSP00000344577	APOL3	Apolipoprotein L3; May affect the movement of lipids in the cytoplasm or allow the binding of lipids to organelles; Apolipoproteins
60	SPAG9	9606.ENSP00000262013	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4; The JNK-interacting protein (JIP) group of scaffold proteins selectively mediates JNK signaling by aggregating specific components of the MAPK cascade to form a functional JNK signaling module. Isoform 5 may play a role in spermatozoa-egg- interaction
61	ITGAL	9606.ENSP00000349252	ITGAL	Integrin subunit alpha l; Integrin alpha-L; Integrin alpha-L/beta-2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin alpha-L/beta-2 is also a receptor for F11R. Involved in a variety of immune phenomena including leukocyte-endothelial cell interaction, cytotoxic T-cell mediated killing, and antibody dependent killing by granulocytes and monocytes. Contributes to natural killer cell cytotoxicity. Involved in leukocyte adhesion and transmigration of leukocytes including T-cells and neutrophils. Required for generation of common lymphoid progenitor cells in bone marrow, indicatin [...] 
62	SLC26A11	9606.ENSP00000355384	SLC26A11	Sodium-independent sulfate anion transporter; Exhibits sodium-independent sulfate anion transporter activity that may cooperate with SLC26A2 to mediate DIDS-sensitive sulfate uptake into high endothelial venules endothelial cells (HEVEC); Solute carriers
63	SPHK1	9606.ENSP00000313681	SPHK1	Sphingosine kinase 1; Catalyzes the phosphorylation of sphingosine to form sphingosine 1-phosphate (SPP), a lipid mediator with both intra- and extracellular functions. Also acts on D-erythro- sphingosine and to a lesser extent sphinganine, but not other lipids, such as D,L-threo-dihydrosphingosine, N,N- dimethylsphingosine, diacylglycerol, ceramide, or phosphatidylinositol
64	CARD16	9606.ENSP00000364858	CARD16	Caspase recruitment domain-containing protein 16; Caspase inhibitor. Acts as a regulator of procaspase- 1/CASP1 activation implicated in the regulation of the proteolytic maturation of pro-interleukin-1 beta (IL1B) and its release during inflammation. Inhibits the release of IL1B in response to LPS in monocytes. Also induces NF-kappa-B activation during the pro- inflammatory cytokine response. Also able to inhibit CASP1- mediated neuronal cell death, TNF-alpha, hypoxia-, UV-, and staurosporine-mediated cell death but not ER stress-mediated cell death. Acts by preventing activation of c [...] 
65	SHROOM3	9606.ENSP00000296043	SHROOM3	Protein Shroom3; Controls cell shape changes in the neuroepithelium during neural tube closure. Induces apical constriction in epithelial cells by promoting the apical accumulation of F-actin and myosin II, and probably by bundling stress fibers. Induces apicobasal cell elongation by redistributing gamma-tubulin and directing the assembly of robust apicobasal microtubule arrays (By similarity); Belongs to the shroom family
66	MACO1	9606.ENSP00000363463	TMEM57	Macoilin 1; Plays a role in the regulation of neuronal activity
67	MTMR11	9606.ENSP00000391668	MTMR11	Myotubularin-related protein 11; Probable pseudophosphatase. Contains a Glu residue instead of a conserved Cys residue in the dsPTPase catalytic loop which renders it catalytically inactive as a phosphatase (Potential); Myotubularins
68	CD38	9606.ENSP00000226279	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1; Synthesizes the second messagers cyclic ADP-ribose and nicotinate-adenine dinucleotide phosphate, the former a second messenger for glucose-induced insulin secretion. Also has cADPr hydrolase activity. Also moonlights as a receptor in cells of the immune system; Belongs to the ADP-ribosyl cyclase family
69	CARS2	9606.ENSP00000257347	CARS2	Probable cysteine--tRNA ligase, mitochondrial; cysteinyl-tRNA synthetase 2, mitochondrial; Belongs to the class-I aminoacyl-tRNA synthetase family
70	PLXNC1	9606.ENSP00000258526	PLXNC1	Plexin-C1; Receptor for SEMA7A, for smallpox semaphorin A39R, vaccinia virus semaphorin A39R and for herpesvirus Sema protein. Binding of semaphorins triggers cellular responses leading to the rearrangement of the cytoskeleton and to secretion of IL6 and IL8 (By similarity); Belongs to the plexin family
71	ITGA5	9606.ENSP00000293379	ITGA5	Integrin alpha-5; Integrin alpha-5/beta-1 is a receptor for fibronectin and fibrinogen. It recognizes the sequence R-G-D in its ligands. ITGA5:ITGB1 binds to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1. ITGA5:ITGB1 acts as a receptor for fibrillin-1 (FBN1) and mediates R-G-D-dependent cell adhesion to FBN1; CD molecules
72	CTTNBP2NL	9606.ENSP00000271277	CTTNBP2NL	CTTNBP2 N-terminal-like protein; CTTNBP2 N-terminal like; STRIPAK complex
73	PIK3R2	9606.ENSP00000222254	PIK3R2	Phosphoinositide-3-kinase regulatory subunit alpha/beta/delta; Phosphatidylinositol 3-kinase regulatory subunit beta; Regulatory subunit of phosphoinositide-3-kinase (PI3K), a kinase that phosphorylates PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5- trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Binds to activated (phosphorylated) protein-tyrosine kinase [...] 
74	PRKAR2B	9606.ENSP00000265717	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit; Regulatory subunit of the cAMP-dependent protein kinases involved in cAMP signaling in cells. Type II regulatory chains mediate membrane association by binding to anchoring proteins, including the MAP2 kinase
75	NFE2L3	9606.ENSP00000056233	NFE2L3	Nuclear factor erythroid 2-related factor 3; Activates erythroid-specific, globin gene expression; Basic leucine zipper proteins
76	SLC41A2	9606.ENSP00000258538	SLC41A2	Solute carrier family 41 member 2; Acts as a plasma-membrane magnesium transporter; Solute carriers
77	STX8	9606.ENSP00000305255	STX8	Syntaxin-8; Vesicle trafficking protein that functions in the early secretory pathway, possibly by mediating retrograde transport from cis-Golgi membranes to the ER; Belongs to the syntaxin family
78	PDE2A	9606.ENSP00000334910	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase; Cyclic nucleotide phosphodiesterase with a dual- specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes. Plays an important role in growth and invasion of malignant melanoma cells (e.g. pseudomyxoma peritonei (PMP) cell line)
79	TSTD1	9606.ENSP00000388293	TSTD1	Thiosulfate sulfurtransferase like domain containing 1; Thiosulfate:glutathione sulfurtransferase; Thiosulfate:glutathione sulfurtransferase (TST) required to produce glutathione persulfide (GSS(-)), a central intermediate in hydrogen sulfide metabolism. Provides the link between the first step in mammalian H(2)S metabolism performed by the sulfide:quinone oxidoreductase (SQOR) which catalyzes the conversion of H(2)S to thiosulfate, and the sulfur dioxygenase (SDO) which uses GSS(-) as substrate. The thermodynamic coupling of the irreversible SDO and reversible TST reactions provides a [...] 
80	ANTKMT	9606.ENSP00000454380	FAM173A	Adenine nucleotide translocase lysine methyltransferase; Protein FAM173A; Seven-beta-strand methyltransferase motif containing
81	SKAP1	9606.ENSP00000338171	SKAP1	Src kinase-associated phosphoprotein 1; Positively regulates T-cell receptor signaling by enhancing the MAP kinase pathway. Required for optimal conjugation between T-cells and antigen-presenting cells by promoting the clustering of integrin ITGAL on the surface of T-cells. May be involved in high affinity immunoglobulin epsilon receptor signaling in mast cells; Belongs to the SKAP family
82	CENPX	9606.ENSP00000376168	STRA13	Centromere protein X; DNA-binding component of the Fanconi anemia (FA) core complex. Required for the normal activation of the FA pathway, leading to monoubiquitination of the FANCI-FANCD2 complex in response to DNA damage, cellular resistance to DNA cross-linking drugs, and prevention of chromosomal breakage. In complex with CENPS (MHF heterodimer), crucial cofactor for FANCM in both binding and ATP-dependent remodeling of DNA. Stabilizes FANCM. In complex with CENPS and FANCM (but not other FANC proteins), rapidly recruited to blocked forks and promotes gene conversion at blocked rep [...] 
83	GPATCH2	9606.ENSP00000355902	GPATCH2	G patch domain-containing protein 2; Enhances the ATPase activity of DHX15 in vitro; G-patch domain containing
84	SKIL	9606.ENSP00000415243	SKIL	Ski-like protein; May have regulatory role in cell division or differentiation in response to extracellular signals; Belongs to the SKI family
85	GSPT1	9606.ENSP00000398131	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Involved in translation termination in response to the termination codons UAA, UAG and UGA. Stimulates the activity of ERF1. Involved in regulation of mammalian cell growth. Component of the transient SURF complex which recruits UPF1 to stalled ribosomes in the context of nonsense-mediated decay (NMD) of mRNAs containing premature stop codons; Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. ERF3 subfamily
86	PRDM1	9606.ENSP00000358092	PRDM1	PR domain zinc finger protein 1; Transcription factor that mediates a transcriptional program in various innate and adaptive immune tissue-resident lymphocyte T cell types such as tissue-resident memory T (Trm), natural killer (trNK) and natural killer T (NKT) cells and negatively regulates gene expression of proteins that promote the egress of tissue-resident T-cell populations from non-lymphoid organs. Plays a role in the development, retention and long-term establishment of adaptive and innate tissue-resident lymphocyte T cell types in non-lymphoid organs, such as the skin and gut,  [...] 
87	PHLDA1	9606.ENSP00000266671	PHLDA1	Pleckstrin homology-like domain family A member 1; Seems to be involved in regulation of apoptosis. May be involved in detachment-mediated programmed cell death. May mediate apoptosis during neuronal development. May be involved in regulation of anti-apoptotic effects of IGF1. May be involved in translational regulation
88	TMEM51	9606.ENSP00000394899	TMEM51	Transmembrane protein 51
89	LIMS1	9606.ENSP00000446121	LIMS1	LIM and senescent cell antigen-like-containing domain protein 1; Adapter protein in a cytoplasmic complex linking beta- integrins to the actin cytoskeleton, bridges the complex to cell surface receptor tyrosine kinases and growth factor receptors. Involved in the regulation of cell survival, cell proliferation and cell differentiation; LIM domain containing
90	IL21R	9606.ENSP00000338010	IL21R	Interleukin-21 receptor; This is a receptor for interleukin-21; CD molecules
91	GPATCH2	9606.ENSP00000355902	GPATCH2	G patch domain-containing protein 2; Enhances the ATPase activity of DHX15 in vitro; G-patch domain containing
92	SLC43A2	9606.ENSP00000461382	SLC43A2	Mfs transporter, lat3 family, solute carrier family 43, member 2; Large neutral amino acids transporter small subunit 4; Sodium-, chloride-, and pH-independent high affinity transport of large neutral amino acids; Belongs to the SLC43A transporter (TC 2.A.1.44) family
93	TPD52	9606.ENSP00000429309	TPD52	Tumor protein d52; Belongs to the TPD52 family
94	CTNNAL1	9606.ENSP00000320434	CTNNAL1	Catenin alpha like 1; Alpha-catulin; May modulate the Rho pathway signaling by providing a scaffold for the Lbc Rho guanine nucleotide exchange factor (ARHGEF1)
95	CD58	9606.ENSP00000358501	CD58	Lymphocyte function-associated antigen 3; Ligand of the T-lymphocyte CD2 glycoprotein. This interaction is important in mediating thymocyte interactions with thymic epithelial cells, antigen-independent and -dependent interactions of T-lymphocytes with target cells and antigen- presenting cells and the T-lymphocyte rosetting with erythrocytes. In addition, the LFA-3/CD2 interaction may prime response by both the CD2+ and LFA-3+ cells
96	CD109	9606.ENSP00000287097	CD109	CD109 antigen; Modulates negatively TGFB1 signaling in keratinocytes; Belongs to the protease inhibitor I39 (alpha-2- macroglobulin) family
97	PHACTR1	9606.ENSP00000329880	PHACTR1	Phosphatase and actin regulator 1; Binds actin monomers (G actin) and plays a role in the reorganization of the actin cytoskeleton and in formation of actin stress fibers. Plays a role in cell motility. Plays a role in the formation of tubules by endothelial cells. Regulates PPP1CA activity. Required for normal cell survival
98	YIPF5	9606.ENSP00000274496	YIPF5	Protein YIPF5; Plays a role in transport between endoplasmic reticulum and Golgi; Yip1 domain containing
