#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIF1	CCL5	9606.ENSP00000365227	9606.ENSP00000474412	0	0	0	0	0.096	0	0	0.467	0.497
AKR7A2	MSC	9606.ENSP00000235835	9606.ENSP00000321445	0	0	0	0	0	0	0	0.431	0.431
AKR7A2	BCL2A1	9606.ENSP00000235835	9606.ENSP00000267953	0	0	0	0	0	0	0	0.464	0.464
AKR7A2	FOS	9606.ENSP00000235835	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0	0.900
AKR7A2	NFE2L2	9606.ENSP00000235835	9606.ENSP00000380252	0	0	0	0	0	0	0.900	0.312	0.928
ANXA4	HSP90AA1	9606.ENSP00000377833	9606.ENSP00000335153	0	0	0	0	0	0.056	0	0.519	0.526
ANXA4	CXCR4	9606.ENSP00000377833	9606.ENSP00000386884	0	0	0	0	0	0	0	0.435	0.435
AQP9	BCL2A1	9606.ENSP00000219919	9606.ENSP00000267953	0	0	0	0	0.331	0	0	0.144	0.403
AQP9	TREM1	9606.ENSP00000219919	9606.ENSP00000244709	0	0	0	0	0.540	0	0	0.108	0.572
AQP9	FPR1	9606.ENSP00000219919	9606.ENSP00000471493	0	0	0	0	0.676	0	0	0.184	0.724
ARHGEF7	HBEGF	9606.ENSP00000364893	9606.ENSP00000230990	0	0	0	0	0	0	0.600	0.056	0.606
ARHGEF7	CAMK1	9606.ENSP00000364893	9606.ENSP00000256460	0	0	0	0	0.052	0	0.900	0.304	0.928
ARHGEF7	HSP90AA1	9606.ENSP00000364893	9606.ENSP00000335153	0	0	0	0	0	0	0	0.676	0.676
ARHGEF7	NR4A2	9606.ENSP00000364893	9606.ENSP00000344479	0	0	0	0	0	0	0	0.501	0.501
ATF3	PPP1R15A	9606.ENSP00000344352	9606.ENSP00000200453	0	0	0	0	0.603	0	0	0.690	0.872
ATF3	DUSP1	9606.ENSP00000344352	9606.ENSP00000239223	0	0	0	0	0.226	0.139	0	0.568	0.687
ATF3	HSPB1	9606.ENSP00000344352	9606.ENSP00000248553	0	0	0	0	0.064	0	0	0.407	0.421
ATF3	BHLHE40	9606.ENSP00000344352	9606.ENSP00000256495	0	0	0	0	0.108	0	0	0.359	0.404
ATF3	FOSL2	9606.ENSP00000344352	9606.ENSP00000264716	0	0	0	0.777	0.410	0.275	0	0.619	0.614
ATF3	CREM	9606.ENSP00000344352	9606.ENSP00000265372	0	0	0	0	0.076	0	0	0.539	0.556
ATF3	PPARG	9606.ENSP00000344352	9606.ENSP00000287820	0	0	0	0	0	0.082	0	0.433	0.458
ATF3	NFIL3	9606.ENSP00000344352	9606.ENSP00000297689	0	0	0	0	0.171	0.078	0	0.404	0.505
ATF3	JUNB	9606.ENSP00000344352	9606.ENSP00000303315	0	0	0	0	0.454	0.749	0	0.682	0.952
ATF3	CEBPB	9606.ENSP00000344352	9606.ENSP00000305422	0	0	0	0	0.372	0.518	0.800	0.751	0.982
ATF3	FOS	9606.ENSP00000344352	9606.ENSP00000306245	0	0	0	0.764	0.854	0.271	0	0.803	0.910
ATF3	ZFP36	9606.ENSP00000344352	9606.ENSP00000469647	0	0	0	0	0.211	0	0	0.273	0.402
ATF3	HIF1A	9606.ENSP00000344352	9606.ENSP00000437955	0	0	0	0	0	0.144	0	0.420	0.482
ATF3	HSPA1A	9606.ENSP00000344352	9606.ENSP00000364802	0	0	0	0	0.181	0.058	0	0.394	0.492
ATF3	MAFB	9606.ENSP00000344352	9606.ENSP00000362410	0	0	0	0	0.063	0.290	0	0.298	0.492
ATF3	CEBPD	9606.ENSP00000344352	9606.ENSP00000386165	0	0	0	0	0.087	0.078	0	0.476	0.521
ATF3	KLF4	9606.ENSP00000344352	9606.ENSP00000363804	0	0	0	0	0.135	0.062	0	0.552	0.604
ATF3	NR4A2	9606.ENSP00000344352	9606.ENSP00000344479	0	0	0	0	0.195	0.146	0	0.515	0.637
ATF3	NFE2L2	9606.ENSP00000344352	9606.ENSP00000380252	0	0	0	0	0	0.322	0	0.671	0.768
BAG3	HSPB1	9606.ENSP00000358081	9606.ENSP00000248553	0	0	0	0	0.107	0.657	0	0.665	0.889
BAG3	DNAJB1	9606.ENSP00000358081	9606.ENSP00000254322	0	0	0	0	0.206	0.308	0	0.729	0.838
BAG3	DNAJB6	9606.ENSP00000358081	9606.ENSP00000262177	0	0	0	0	0.054	0.643	0	0.815	0.932
BAG3	HSPH1	9606.ENSP00000358081	9606.ENSP00000318687	0	0	0	0	0.083	0.368	0.500	0.431	0.813
BAG3	HSP90AA1	9606.ENSP00000358081	9606.ENSP00000335153	0	0	0	0	0.045	0.292	0	0.730	0.802
BAG3	SGK1	9606.ENSP00000358081	9606.ENSP00000356832	0	0	0	0	0.063	0.125	0	0.329	0.401
BAG3	LMNA	9606.ENSP00000358081	9606.ENSP00000357283	0	0	0	0	0.095	0.057	0	0.467	0.505
BAG3	HSPA1B	9606.ENSP00000358081	9606.ENSP00000364801	0	0	0	0	0.134	0.667	0.900	0.553	0.985
BAG3	HSPA1A	9606.ENSP00000358081	9606.ENSP00000364802	0	0	0	0	0.134	0.919	0.900	0.798	0.998
BAX	PPIF	9606.ENSP00000293288	9606.ENSP00000225174	0	0	0	0	0	0.057	0.720	0.294	0.797
BAX	BCL2A1	9606.ENSP00000293288	9606.ENSP00000267953	0	0	0	0	0	0.270	0	0.369	0.519
BAX	HK2	9606.ENSP00000293288	9606.ENSP00000290573	0	0	0	0	0	0	0.800	0.453	0.886
BAX	HIF1A	9606.ENSP00000293288	9606.ENSP00000437955	0	0	0	0	0	0.063	0	0.391	0.404
BAX	VEGFA	9606.ENSP00000293288	9606.ENSP00000478570	0	0	0	0	0	0	0	0.467	0.467
BAX	NFE2L2	9606.ENSP00000293288	9606.ENSP00000380252	0	0	0	0	0	0	0	0.469	0.469
BBS9	IFT27	9606.ENSP00000242067	9606.ENSP00000393541	0	0	0	0	0	0	0	0.688	0.688
BCL2A1	CARD16	9606.ENSP00000267953	9606.ENSP00000364858	0	0	0	0	0.347	0.178	0	0.131	0.493
BCL2A1	CEBPB	9606.ENSP00000267953	9606.ENSP00000305422	0	0	0	0	0.096	0	0	0.570	0.594
BCL2A1	HSP90AA1	9606.ENSP00000267953	9606.ENSP00000335153	0	0	0	0	0	0	0	0.879	0.879
BHLHE40	FOSL2	9606.ENSP00000256495	9606.ENSP00000264716	0	0	0	0	0.111	0	0	0.391	0.435
BHLHE40	CEBPB	9606.ENSP00000256495	9606.ENSP00000305422	0	0	0	0	0.118	0.182	0	0.407	0.535
BHLHE40	HIF1A	9606.ENSP00000256495	9606.ENSP00000437955	0	0	0	0	0	0.057	0	0.576	0.583
BHLHE40	NFIL3	9606.ENSP00000256495	9606.ENSP00000297689	0	0	0	0	0.085	0.310	0	0.769	0.841
BTG1	PRMT9	9606.ENSP00000256015	9606.ENSP00000314396	0	0	0	0	0	0.056	0	0.423	0.432
C5AR1	TREM1	9606.ENSP00000347197	9606.ENSP00000244709	0	0	0	0	0.332	0	0	0.325	0.530
C5AR1	NLRP3	9606.ENSP00000347197	9606.ENSP00000337383	0	0	0	0	0.154	0	0	0.530	0.585
C5AR1	CCL5	9606.ENSP00000347197	9606.ENSP00000474412	0	0	0	0	0.158	0	0	0.390	0.464
C5AR1	ITGAL	9606.ENSP00000347197	9606.ENSP00000349252	0	0	0	0	0.117	0	0	0.430	0.476
C5AR1	FCN1	9606.ENSP00000347197	9606.ENSP00000360871	0	0	0	0	0.329	0	0	0.285	0.499
C5AR1	FPR1	9606.ENSP00000347197	9606.ENSP00000471493	0	0	0	0.811	0.547	0	0	0.610	0.598
C5AR1	CD55	9606.ENSP00000347197	9606.ENSP00000356030	0	0	0	0	0	0	0	0.700	0.700
CAMK1	CREM	9606.ENSP00000256460	9606.ENSP00000265372	0	0	0	0	0	0.143	0	0.382	0.448
CAMK1	SYN1	9606.ENSP00000256460	9606.ENSP00000295987	0	0	0	0	0.079	0.304	0	0.542	0.681
CARD16	NLRP3	9606.ENSP00000364858	9606.ENSP00000337383	0	0	0	0	0.118	0	0	0.751	0.771
CARS2	CTH	9606.ENSP00000257347	9606.ENSP00000359976	0.084	0	0	0	0	0	0	0.395	0.422
CARS2	FARS2	9606.ENSP00000257347	9606.ENSP00000316335	0	0	0	0	0.144	0	0	0.626	0.666
CCL5	TIMP1	9606.ENSP00000474412	9606.ENSP00000218388	0	0	0	0	0	0	0	0.604	0.604
CCL5	SERPINE1	9606.ENSP00000474412	9606.ENSP00000223095	0	0	0	0	0	0	0	0.604	0.604
CCL5	TREM1	9606.ENSP00000474412	9606.ENSP00000244709	0	0	0	0	0.111	0	0	0.419	0.462
CCL5	GZMA	9606.ENSP00000474412	9606.ENSP00000274306	0	0	0	0	0.566	0	0	0.500	0.774
CCL5	PPARG	9606.ENSP00000474412	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.471	0.482
CCL5	CEBPB	9606.ENSP00000474412	9606.ENSP00000305422	0	0	0	0	0.062	0	0	0.390	0.403
CCL5	NLRP3	9606.ENSP00000474412	9606.ENSP00000337383	0	0	0	0	0.112	0	0	0.516	0.551
CCL5	ITGAL	9606.ENSP00000474412	9606.ENSP00000349252	0	0	0	0	0.236	0	0	0.452	0.563
CCL5	CD83	9606.ENSP00000474412	9606.ENSP00000368450	0	0	0	0	0.069	0	0	0.469	0.484
CCL5	CXCR4	9606.ENSP00000474412	9606.ENSP00000386884	0	0	0	0	0.062	0.056	0.600	0.896	0.958
CCL5	CXCR6	9606.ENSP00000474412	9606.ENSP00000395704	0	0	0	0	0.184	0	0.600	0.594	0.856
CCL5	IL32	9606.ENSP00000474412	9606.ENSP00000432218	0	0	0	0	0.140	0	0	0.452	0.508
CCL5	HIF1A	9606.ENSP00000474412	9606.ENSP00000437955	0	0	0	0	0	0	0	0.465	0.465
CCL5	VEGFA	9606.ENSP00000474412	9606.ENSP00000478570	0	0	0	0	0	0	0	0.755	0.755
CCNH	MED14	9606.ENSP00000256897	9606.ENSP00000323720	0	0	0	0	0.100	0.136	0	0.405	0.497
CCNH	CDK19	9606.ENSP00000256897	9606.ENSP00000357907	0	0	0	0	0.063	0.343	0	0.575	0.715
CD55	TFPI	9606.ENSP00000356030	9606.ENSP00000233156	0	0	0	0	0	0	0	0.407	0.407
CD55	CD58	9606.ENSP00000356030	9606.ENSP00000358501	0	0	0	0	0	0	0	0.470	0.470
CD55	THBD	9606.ENSP00000356030	9606.ENSP00000366307	0	0	0	0	0.064	0	0	0.555	0.566
CD58	ITGAL	9606.ENSP00000358501	9606.ENSP00000349252	0	0	0	0	0.049	0	0	0.731	0.733
CD58	CD83	9606.ENSP00000358501	9606.ENSP00000368450	0	0	0	0	0.064	0	0	0.519	0.530
CD83	PLIN2	9606.ENSP00000368450	9606.ENSP00000276914	0	0	0	0	0	0	0	0.432	0.432
CD83	ITGAL	9606.ENSP00000368450	9606.ENSP00000349252	0	0	0	0	0.063	0	0	0.422	0.435
CD83	LMNA	9606.ENSP00000368450	9606.ENSP00000357283	0	0	0	0	0	0	0	0.517	0.517
CD83	THBD	9606.ENSP00000368450	9606.ENSP00000366307	0	0	0	0	0	0	0	0.529	0.529
CD83	CXCR4	9606.ENSP00000368450	9606.ENSP00000386884	0	0	0	0	0.085	0	0	0.505	0.527
CDK19	PPARG	9606.ENSP00000357907	9606.ENSP00000287820	0	0	0	0	0	0.138	0.600	0.048	0.643
CDK19	MED14	9606.ENSP00000357907	9606.ENSP00000323720	0	0	0	0	0.062	0.918	0.800	0.707	0.994
CEBPB	PPP1R15A	9606.ENSP00000305422	9606.ENSP00000200453	0	0	0	0	0.132	0	0	0.379	0.438
CEBPB	DUSP1	9606.ENSP00000305422	9606.ENSP00000239223	0	0	0	0	0.126	0	0	0.381	0.436
CEBPB	FOSL2	9606.ENSP00000305422	9606.ENSP00000264716	0	0	0	0	0.149	0.078	0	0.475	0.553
CEBPB	CREM	9606.ENSP00000305422	9606.ENSP00000265372	0	0	0	0	0.062	0.145	0	0.394	0.472
CEBPB	PPARG	9606.ENSP00000305422	9606.ENSP00000287820	0	0	0	0	0.062	0.501	0.900	0.943	0.997
CEBPB	NFIL3	9606.ENSP00000305422	9606.ENSP00000297689	0	0	0	0	0.141	0	0	0.383	0.447
CEBPB	JUNB	9606.ENSP00000305422	9606.ENSP00000303315	0	0	0	0	0.267	0.102	0	0.477	0.626
CEBPB	SLC25A19	9606.ENSP00000305422	9606.ENSP00000385312	0	0	0	0	0	0	0	0.419	0.419
CEBPB	MAFB	9606.ENSP00000305422	9606.ENSP00000362410	0	0	0	0	0.098	0.132	0	0.320	0.421
CEBPB	VDR	9606.ENSP00000305422	9606.ENSP00000447173	0	0	0	0	0.069	0.069	0	0.412	0.446
CEBPB	VEGFA	9606.ENSP00000305422	9606.ENSP00000478570	0	0	0	0	0.076	0	0	0.456	0.475
CEBPB	LMNA	9606.ENSP00000305422	9606.ENSP00000357283	0	0	0	0	0.082	0	0	0.451	0.475
CEBPB	HIF1A	9606.ENSP00000305422	9606.ENSP00000437955	0	0	0	0	0	0	0	0.488	0.488
CEBPB	NFE2L2	9606.ENSP00000305422	9606.ENSP00000380252	0	0	0	0	0	0	0	0.501	0.501
CEBPB	FOS	9606.ENSP00000305422	9606.ENSP00000306245	0	0	0	0	0.188	0.078	0	0.749	0.796
CEBPB	KLF4	9606.ENSP00000305422	9606.ENSP00000363804	0	0	0	0	0.109	0.058	0.900	0.518	0.954
CEBPB	CEBPD	9606.ENSP00000305422	9606.ENSP00000386165	0	0	0	0.773	0.409	0.499	0.900	0.980	0.974
CEBPD	DUSP1	9606.ENSP00000386165	9606.ENSP00000239223	0	0	0	0	0.278	0	0	0.240	0.428
CEBPD	FOSL2	9606.ENSP00000386165	9606.ENSP00000264716	0	0	0	0	0.170	0.078	0	0.351	0.460
CEBPD	PPARG	9606.ENSP00000386165	9606.ENSP00000287820	0	0	0	0	0	0.069	0.900	0.686	0.968
CEBPD	JUNB	9606.ENSP00000386165	9606.ENSP00000303315	0	0	0	0	0.206	0.102	0.900	0.217	0.936
CEBPD	FOS	9606.ENSP00000386165	9606.ENSP00000306245	0	0	0	0	0.144	0.078	0.900	0.464	0.952
CEBPD	KLF4	9606.ENSP00000386165	9606.ENSP00000363804	0	0	0	0	0.141	0.058	0	0.392	0.465
CEBPD	ZFP36	9606.ENSP00000386165	9606.ENSP00000469647	0	0	0	0	0.295	0.060	0	0.235	0.449
CEBPD	HIF1A	9606.ENSP00000386165	9606.ENSP00000437955	0	0	0	0	0	0	0.900	0.293	0.926
COL7A1	TRAPPC6A	9606.ENSP00000332371	9606.ENSP00000006275	0	0	0	0	0	0	0.600	0	0.600
COL7A1	PLOD1	9606.ENSP00000332371	9606.ENSP00000196061	0	0	0	0	0.115	0.144	0.600	0.175	0.717
COL7A1	THBS1	9606.ENSP00000332371	9606.ENSP00000260356	0	0	0	0	0.087	0.204	0	0.694	0.759
COL7A1	ITGAV	9606.ENSP00000332371	9606.ENSP00000261023	0	0	0	0	0.099	0	0.900	0.266	0.928
CREM	FOSL2	9606.ENSP00000265372	9606.ENSP00000264716	0	0	0	0	0.062	0	0	0.395	0.408
CREM	NFIL3	9606.ENSP00000265372	9606.ENSP00000297689	0	0	0	0	0.065	0.145	0	0.354	0.438
CREM	PDE4B	9606.ENSP00000265372	9606.ENSP00000332116	0	0	0	0	0	0	0	0.441	0.441
CREM	PRKAR1A	9606.ENSP00000265372	9606.ENSP00000376475	0	0	0	0	0.062	0	0.900	0.425	0.941
CREM	FOS	9606.ENSP00000265372	9606.ENSP00000306245	0	0	0	0	0.062	0.486	0.900	0.614	0.978
CTH	SORD	9606.ENSP00000359976	9606.ENSP00000267814	0.227	0	0	0	0.062	0	0	0.322	0.466
CTH	TSTD1	9606.ENSP00000359976	9606.ENSP00000388293	0.291	0	0	0	0	0	0	0.367	0.532
CXCR4	TIMP1	9606.ENSP00000386884	9606.ENSP00000218388	0	0	0	0	0	0	0	0.458	0.457
CXCR4	THBS1	9606.ENSP00000386884	9606.ENSP00000260356	0	0	0	0	0	0	0	0.408	0.408
CXCR4	CYTIP	9606.ENSP00000386884	9606.ENSP00000264192	0	0	0	0	0.214	0.086	0	0.234	0.401
CXCR4	GNA12	9606.ENSP00000386884	9606.ENSP00000275364	0	0	0	0	0	0.151	0.800	0.614	0.928
CXCR4	PPARG	9606.ENSP00000386884	9606.ENSP00000287820	0	0	0	0	0.062	0.056	0	0.391	0.413
CXCR4	ITGA5	9606.ENSP00000386884	9606.ENSP00000293379	0	0	0	0	0	0	0	0.454	0.454
CXCR4	FOS	9606.ENSP00000386884	9606.ENSP00000306245	0	0	0	0	0.069	0	0	0.391	0.408
CXCR4	HSP90AA1	9606.ENSP00000386884	9606.ENSP00000335153	0	0	0	0	0	0	0	0.902	0.902
CXCR4	PLAUR	9606.ENSP00000386884	9606.ENSP00000339328	0	0	0	0	0	0	0	0.460	0.459
CXCR4	ITGAL	9606.ENSP00000386884	9606.ENSP00000349252	0	0	0	0	0.144	0	0	0.524	0.575
CXCR4	RGS16	9606.ENSP00000386884	9606.ENSP00000356529	0	0	0	0	0	0.056	0	0.391	0.400
CXCR4	TPM3	9606.ENSP00000386884	9606.ENSP00000357516	0	0	0	0	0	0	0	0.514	0.514
CXCR4	PLAU	9606.ENSP00000386884	9606.ENSP00000361850	0	0	0	0	0	0.097	0	0.416	0.450
CXCR4	ENG	9606.ENSP00000386884	9606.ENSP00000362299	0	0	0	0	0	0	0	0.612	0.612
CXCR4	KLF4	9606.ENSP00000386884	9606.ENSP00000363804	0	0	0	0	0	0.056	0	0.468	0.477
CXCR4	NFE2L2	9606.ENSP00000386884	9606.ENSP00000380252	0	0	0	0	0	0	0	0.415	0.415
CXCR4	IFITM1	9606.ENSP00000386884	9606.ENSP00000386187	0	0	0	0	0.060	0	0	0.454	0.465
CXCR4	HIF1A	9606.ENSP00000386884	9606.ENSP00000437955	0	0	0	0	0	0.273	0	0.710	0.780
CXCR4	FPR1	9606.ENSP00000386884	9606.ENSP00000471493	0	0	0	0.752	0.065	0	0.900	0.459	0.913
CXCR4	VEGFA	9606.ENSP00000386884	9606.ENSP00000478570	0	0	0	0	0	0	0	0.917	0.917
CXCR6	GZMA	9606.ENSP00000395704	9606.ENSP00000274306	0	0	0	0	0.557	0	0	0.520	0.778
CYTIP	MAP3K8	9606.ENSP00000264192	9606.ENSP00000263056	0	0	0	0	0.097	0	0	0.445	0.477
CYTIP	TMEM51	9606.ENSP00000264192	9606.ENSP00000394899	0	0	0	0	0	0	0	0.419	0.419
CYTIP	IL21R	9606.ENSP00000264192	9606.ENSP00000338010	0	0	0	0	0.538	0	0	0	0.538
CYTIP	GPR183	9606.ENSP00000264192	9606.ENSP00000365596	0	0	0	0	0.574	0	0	0.224	0.655
DNAJB1	HSPB1	9606.ENSP00000254322	9606.ENSP00000248553	0	0	0	0	0.073	0.068	0	0.815	0.826
DNAJB1	HIF1A	9606.ENSP00000254322	9606.ENSP00000437955	0	0	0	0	0	0.270	0	0.289	0.459
DNAJB1	GSPT1	9606.ENSP00000254322	9606.ENSP00000398131	0	0	0	0	0.066	0.242	0	0.319	0.476
DNAJB1	DNAJB5	9606.ENSP00000254322	9606.ENSP00000404079	0	0	0.422	0.965	0	0.477	0	0.607	0.494
DNAJB1	DNAJB6	9606.ENSP00000254322	9606.ENSP00000262177	0	0	0.263	0.735	0.096	0.486	0	0.903	0.653
DNAJB1	HSPA1B	9606.ENSP00000254322	9606.ENSP00000364801	0.042	0	0.427	0	0.313	0.383	0.600	0.567	0.950
DNAJB1	HSPH1	9606.ENSP00000254322	9606.ENSP00000318687	0.042	0	0.345	0	0.259	0.808	0	0.883	0.987
DNAJB1	HSPA1A	9606.ENSP00000254322	9606.ENSP00000364802	0.042	0	0.427	0	0.310	0.653	0.600	0.862	0.991
DNAJB1	HSP90AA1	9606.ENSP00000254322	9606.ENSP00000335153	0	0	0	0	0.531	0.333	0.900	0.991	0.999
DNAJB5	DNAJB6	9606.ENSP00000404079	9606.ENSP00000262177	0	0	0.266	0.711	0.062	0.486	0	0.485	0.594
DNAJB5	HSPH1	9606.ENSP00000404079	9606.ENSP00000318687	0.042	0	0.360	0	0.190	0.531	0	0.286	0.803
DNAJB5	HSP90AA1	9606.ENSP00000404079	9606.ENSP00000335153	0	0	0	0	0.488	0.333	0	0.454	0.797
DNAJB5	HSPA1B	9606.ENSP00000404079	9606.ENSP00000364801	0.042	0	0.417	0	0.287	0.383	0	0.216	0.772
DNAJB5	HSPA1A	9606.ENSP00000404079	9606.ENSP00000364802	0.042	0	0.417	0	0.287	0.530	0	0.354	0.857
DNAJB5	GSPT1	9606.ENSP00000404079	9606.ENSP00000398131	0	0	0	0	0.062	0.242	0	0.295	0.454
DNAJB6	HSP90AA1	9606.ENSP00000262177	9606.ENSP00000335153	0	0	0	0	0.146	0.182	0	0.424	0.562
DNAJB6	HSPH1	9606.ENSP00000262177	9606.ENSP00000318687	0.042	0	0.297	0	0.175	0.250	0	0.370	0.689
DNAJB6	HSPA1B	9606.ENSP00000262177	9606.ENSP00000364801	0.042	0	0.348	0	0.143	0.230	0.900	0.351	0.967
DNAJB6	HSPA1A	9606.ENSP00000262177	9606.ENSP00000364802	0.042	0	0.348	0	0.143	0.413	0.900	0.592	0.984
DUSP1	PPP1R15A	9606.ENSP00000239223	9606.ENSP00000200453	0	0	0	0	0.336	0	0	0.326	0.534
DUSP1	NFE2L2	9606.ENSP00000239223	9606.ENSP00000380252	0	0	0	0	0	0.270	0	0.218	0.405
DUSP1	VEGFA	9606.ENSP00000239223	9606.ENSP00000478570	0	0	0	0	0.062	0	0	0.393	0.406
DUSP1	IER3	9606.ENSP00000239223	9606.ENSP00000259874	0	0	0	0	0.067	0	0	0.393	0.409
DUSP1	FOSL2	9606.ENSP00000239223	9606.ENSP00000264716	0	0	0	0	0.107	0.139	0	0.346	0.454
DUSP1	DUSP23	9606.ENSP00000239223	9606.ENSP00000357087	0	0	0	0	0	0.056	0	0.502	0.509
DUSP1	NR4A2	9606.ENSP00000239223	9606.ENSP00000344479	0	0	0	0	0.336	0	0	0.392	0.579
DUSP1	SGK1	9606.ENSP00000239223	9606.ENSP00000356832	0	0	0	0	0.108	0.131	0	0.513	0.590
DUSP1	JUNB	9606.ENSP00000239223	9606.ENSP00000303315	0	0	0	0	0.658	0.145	0	0.299	0.777
DUSP1	HSP90AA1	9606.ENSP00000239223	9606.ENSP00000335153	0	0	0	0	0	0.098	0.900	0.305	0.931
DUSP1	ZFP36	9606.ENSP00000239223	9606.ENSP00000469647	0	0	0	0	0.793	0.062	0	0.689	0.934
DUSP1	HSPA1A	9606.ENSP00000239223	9606.ENSP00000364802	0	0	0	0	0.074	0.058	0.900	0.347	0.935
DUSP1	FOS	9606.ENSP00000239223	9606.ENSP00000306245	0	0	0	0	0.872	0.139	0	0.686	0.962
DUSP10	PIK3R2	9606.ENSP00000355866	9606.ENSP00000222254	0	0	0	0	0	0.060	0	0.540	0.549
DUSP10	DUSP23	9606.ENSP00000355866	9606.ENSP00000357087	0	0	0	0	0	0.056	0	0.451	0.459
DUSP23	PLK3	9606.ENSP00000357087	9606.ENSP00000361275	0	0	0	0	0.064	0.347	0	0.196	0.465
EIF4E	PPP1R15A	9606.ENSP00000425561	9606.ENSP00000200453	0	0	0	0	0	0	0	0.409	0.409
EIF4E	HSPB1	9606.ENSP00000425561	9606.ENSP00000248553	0	0	0	0	0	0	0	0.572	0.572
EIF4E	HSP90AA1	9606.ENSP00000425561	9606.ENSP00000335153	0	0	0	0	0.066	0.056	0	0.599	0.616
EIF4E	SGK1	9606.ENSP00000425561	9606.ENSP00000356832	0	0	0	0	0.062	0	0	0.609	0.618
EIF4E	GSPT1	9606.ENSP00000425561	9606.ENSP00000398131	0	0	0	0	0.146	0.140	0	0.473	0.579
