#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHCY	RPLP0	9606.ENSP00000217426	9606.ENSP00000449328	0	0	0	0	0.475	0	0	0.098	0.507
AHCY	CTH	9606.ENSP00000217426	9606.ENSP00000359976	0	0	0	0	0.092	0.077	0.800	0.792	0.960
AIF1	SYN1	9606.ENSP00000365227	9606.ENSP00000295987	0	0	0	0	0	0.076	0	0.460	0.479
AIF1	OLIG2	9606.ENSP00000365227	9606.ENSP00000331040	0	0	0	0	0	0	0	0.747	0.747
AKAP11	SPHK1	9606.ENSP00000025301	9606.ENSP00000313681	0	0	0	0	0	0	0	0.537	0.537
AKAP11	AKAP12	9606.ENSP00000025301	9606.ENSP00000384537	0	0	0	0	0	0	0	0.572	0.572
AKAP11	PPP1CC	9606.ENSP00000025301	9606.ENSP00000341779	0	0	0	0	0	0.462	0	0.531	0.737
AKAP11	PRKAR1A	9606.ENSP00000025301	9606.ENSP00000376475	0	0	0	0	0.062	0.695	0	0.248	0.766
AKR7A2	MSC	9606.ENSP00000235835	9606.ENSP00000321445	0	0	0	0	0	0	0	0.431	0.431
ANKHD1	ENSP00000442453	9606.ENSP00000354085	9606.ENSP00000442453	0	0	0	0	0.049	0.059	0	0.421	0.436
ANKHD1	EIF4E	9606.ENSP00000354085	9606.ENSP00000425561	0	0	0	0	0.062	0.076	0	0.432	0.464
ANKHD1-EIF4EBP3	EIF4E	9606.ENSP00000432016	9606.ENSP00000425561	0	0	0	0	0.062	0.076	0	0.442	0.474
ANKHD1-EIF4EBP3	ENSP00000442453	9606.ENSP00000432016	9606.ENSP00000442453	0	0	0	0	0.049	0.059	0	0.656	0.665
ANKRD46	CARS2	9606.ENSP00000429015	9606.ENSP00000257347	0	0	0	0	0	0	0	0.607	0.607
APEX1	EEF1A1	9606.ENSP00000216714	9606.ENSP00000339063	0	0	0	0	0.194	0.270	0	0.080	0.412
APEX1	LGMN	9606.ENSP00000216714	9606.ENSP00000376911	0	0	0	0	0.118	0	0	0.416	0.462
APEX1	RPA1	9606.ENSP00000216714	9606.ENSP00000254719	0	0	0	0	0.178	0.073	0.600	0.442	0.807
APEX1	ILF2	9606.ENSP00000216714	9606.ENSP00000355011	0	0	0	0	0.655	0.270	0	0.299	0.808
ARCN1	BET1	9606.ENSP00000264028	9606.ENSP00000222547	0	0	0	0	0.062	0.117	0.600	0.162	0.685
ARCN1	RPL17	9606.ENSP00000264028	9606.ENSP00000397798	0	0	0	0	0.476	0	0	0	0.476
ARCN1	DDOST	9606.ENSP00000264028	9606.ENSP00000399457	0	0	0	0	0.297	0.133	0	0.310	0.543
ARCN1	RPL3	9606.ENSP00000264028	9606.ENSP00000346001	0	0	0	0	0.513	0	0	0.132	0.560
ARCN1	STX8	9606.ENSP00000264028	9606.ENSP00000305255	0	0	0	0	0	0.070	0	0.569	0.582
ARCN1	SEC63	9606.ENSP00000264028	9606.ENSP00000357998	0	0	0	0	0.456	0.057	0	0.331	0.627
ARCN1	USO1	9606.ENSP00000264028	9606.ENSP00000444850	0	0	0	0	0.179	0.115	0.600	0.146	0.718
ARCN1	TMED7	9606.ENSP00000264028	9606.ENSP00000405926	0	0	0	0	0.132	0	0.720	0.073	0.755
ARCN1	TMED10	9606.ENSP00000264028	9606.ENSP00000303145	0	0	0	0	0.206	0.914	0.600	0.205	0.975
ARHGEF7	CAMK1	9606.ENSP00000364893	9606.ENSP00000256460	0	0	0	0	0.052	0	0.900	0.304	0.928
ARPP19	STOML2	9606.ENSP00000455625	9606.ENSP00000348886	0	0	0	0	0	0	0	0.537	0.537
ATP5B	HSPE1	9606.ENSP00000262030	9606.ENSP00000233893	0.076	0	0	0	0.188	0	0	0.320	0.446
ATP5B	DDOST	9606.ENSP00000262030	9606.ENSP00000399457	0	0	0	0	0.396	0	0	0.081	0.421
ATP5B	STOML2	9606.ENSP00000262030	9606.ENSP00000348886	0	0	0	0	0.306	0	0	0.222	0.438
ATP5B	PPP1CC	9606.ENSP00000262030	9606.ENSP00000341779	0	0	0	0	0.153	0.288	0	0.161	0.450
ATP5B	ECHS1	9606.ENSP00000262030	9606.ENSP00000357535	0	0	0	0	0.204	0	0	0.375	0.481
ATP5B	PRDX4	9606.ENSP00000262030	9606.ENSP00000368646	0	0	0	0	0.115	0.218	0	0.334	0.499
ATP5B	YIPF5	9606.ENSP00000262030	9606.ENSP00000274496	0	0	0	0	0.129	0.458	0	0	0.507
ATP5B	TMEM70	9606.ENSP00000262030	9606.ENSP00000312599	0	0	0	0	0.064	0.105	0	0.489	0.535
ATP5B	RPL3	9606.ENSP00000262030	9606.ENSP00000346001	0	0	0	0	0.413	0	0	0.248	0.540
ATP5B	HADHA	9606.ENSP00000262030	9606.ENSP00000370023	0	0	0	0	0.344	0.095	0	0.354	0.583
ATP5B	EEF1A1	9606.ENSP00000262030	9606.ENSP00000339063	0	0	0	0	0.322	0.272	0	0.586	0.778
ATP5B	VDAC3	9606.ENSP00000262030	9606.ENSP00000428845	0	0	0	0	0.577	0.286	0	0.389	0.799
ATP5B	RPLP0	9606.ENSP00000262030	9606.ENSP00000449328	0	0	0	0	0.694	0.252	0	0.240	0.811
ATP5B	IDH3A	9606.ENSP00000262030	9606.ENSP00000299518	0.055	0	0	0	0.679	0.128	0	0.540	0.862
ATP5B	SLC25A5	9606.ENSP00000262030	9606.ENSP00000360671	0	0	0	0	0.805	0.407	0	0.567	0.945
ATP5B	UQCRC2	9606.ENSP00000262030	9606.ENSP00000268379	0	0	0	0	0.894	0.681	0	0.736	0.990
ATRX	UBE3A	9606.ENSP00000362441	9606.ENSP00000232165	0	0	0	0	0.085	0.105	0	0.472	0.531
ATRX	RPA1	9606.ENSP00000362441	9606.ENSP00000254719	0	0	0	0	0.064	0.327	0	0.292	0.515
ATRX	BRWD1	9606.ENSP00000362441	9606.ENSP00000330753	0	0	0	0	0.720	0.142	0	0.107	0.767
ATRX	OLIG2	9606.ENSP00000362441	9606.ENSP00000331040	0	0	0	0	0	0.059	0	0.459	0.469
ATRX	FGFR1	9606.ENSP00000362441	9606.ENSP00000393312	0	0	0	0	0	0.057	0	0.403	0.412
BAX	BCL2L2	9606.ENSP00000293288	9606.ENSP00000250405	0	0	0	0.651	0	0.877	0.540	0.527	0.951
BAX	RPA1	9606.ENSP00000293288	9606.ENSP00000254719	0	0	0	0	0.062	0	0.900	0.070	0.905
BAX	MFN1	9606.ENSP00000293288	9606.ENSP00000420617	0	0	0	0	0	0.248	0	0.370	0.506
BAX	VDAC3	9606.ENSP00000293288	9606.ENSP00000428845	0	0	0	0	0	0.057	0.540	0.247	0.644
BAX	SH3GLB1	9606.ENSP00000293288	9606.ENSP00000479919	0	0	0	0	0	0.677	0	0.142	0.711
BBS9	IFT27	9606.ENSP00000242067	9606.ENSP00000393541	0	0	0	0	0	0	0	0.688	0.688
BCL2L2	MFN1	9606.ENSP00000250405	9606.ENSP00000420617	0	0	0	0	0.049	0.248	0	0.270	0.432
BET1	TMED7	9606.ENSP00000222547	9606.ENSP00000405926	0	0	0	0	0.133	0	0.600	0.067	0.648
BET1	TMED10	9606.ENSP00000222547	9606.ENSP00000303145	0	0	0	0	0.122	0.070	0.500	0.301	0.676
BET1	STX8	9606.ENSP00000222547	9606.ENSP00000305255	0	0	0	0	0.083	0.166	0.540	0.482	0.793
BET1	COL7A1	9606.ENSP00000222547	9606.ENSP00000332371	0	0	0	0	0	0	0.900	0	0.900
BET1	USO1	9606.ENSP00000222547	9606.ENSP00000444850	0	0	0	0	0.118	0.573	0.600	0.825	0.970
BRWD1	PSMG1	9606.ENSP00000330753	9606.ENSP00000329915	0	0	0	0	0	0	0	0.817	0.817
BUB3	PPP1R7	9606.ENSP00000357858	9606.ENSP00000234038	0	0	0	0	0.108	0.133	0	0.752	0.792
BUB3	PPP1CC	9606.ENSP00000357858	9606.ENSP00000341779	0	0	0	0	0.344	0.057	0	0.382	0.584
BUB3	MAPRE1	9606.ENSP00000357858	9606.ENSP00000364721	0	0	0	0	0.117	0.368	0	0.362	0.613
BUB3	PAFAH1B1	9606.ENSP00000357858	9606.ENSP00000380378	0	0	0.246	0	0.049	0.788	0	0.242	0.869
CALM1	RALA	9606.ENSP00000349467	9606.ENSP00000005257	0	0	0	0	0	0.690	0	0.252	0.758
CALM1	UBE3A	9606.ENSP00000349467	9606.ENSP00000232165	0	0	0	0	0.055	0.691	0	0.079	0.708
CALM1	CAMK1	9606.ENSP00000349467	9606.ENSP00000256460	0	0	0	0	0	0.873	0	0.723	0.963
CALM1	SYN1	9606.ENSP00000349467	9606.ENSP00000295987	0	0	0	0	0.179	0.151	0	0.327	0.490
CALM1	PPP1CC	9606.ENSP00000349467	9606.ENSP00000341779	0	0	0.264	0	0	0.174	0	0.346	0.567
CALM1	OAZ1	9606.ENSP00000349467	9606.ENSP00000473381	0	0	0	0	0	0	0	0.468	0.468
CAMK1	DAP	9606.ENSP00000256460	9606.ENSP00000230895	0	0	0	0	0	0	0	0.431	0.431
CAMK1	SYN1	9606.ENSP00000256460	9606.ENSP00000295987	0	0	0	0	0.079	0.304	0	0.542	0.681
CAMSAP2	MAPRE1	9606.ENSP00000236925	9606.ENSP00000364721	0	0	0	0	0.082	0	0	0.554	0.573
CARS2	CTH	9606.ENSP00000257347	9606.ENSP00000359976	0.084	0	0	0	0	0	0	0.395	0.422
CARS2	FARS2	9606.ENSP00000257347	9606.ENSP00000316335	0	0	0	0	0.144	0	0	0.626	0.666
CARS2	IARS	9606.ENSP00000257347	9606.ENSP00000364794	0.045	0	0	0	0.653	0	0	0.801	0.928
CCDC47	RPL17	9606.ENSP00000225726	9606.ENSP00000397798	0	0	0	0	0	0.800	0	0	0.800
CCDC47	RPL3	9606.ENSP00000225726	9606.ENSP00000346001	0	0	0	0	0.066	0.800	0	0	0.805
CCDC47	RPL15	9606.ENSP00000225726	9606.ENSP00000309334	0	0	0	0	0.067	0.800	0	0	0.805
CD109	EXOC1	9606.ENSP00000287097	9606.ENSP00000370695	0	0	0	0	0	0	0	0.425	0.425
CD58	ITGAL	9606.ENSP00000358501	9606.ENSP00000349252	0	0	0	0	0.049	0	0	0.731	0.733
CDC40	SRSF6	9606.ENSP00000357928	9606.ENSP00000244020	0	0	0	0	0.120	0.103	0.800	0.109	0.840
CDC40	SRSF10	9606.ENSP00000357928	9606.ENSP00000420195	0	0	0	0	0.139	0.278	0	0.138	0.417
CDK19	PPARG	9606.ENSP00000357907	9606.ENSP00000287820	0	0	0	0	0	0.138	0.600	0.048	0.643
CDK19	MED14	9606.ENSP00000357907	9606.ENSP00000323720	0	0	0	0	0.062	0.918	0.800	0.707	0.994
CDK19	TCEA1	9606.ENSP00000357907	9606.ENSP00000428426	0	0	0	0	0.084	0.124	0	0.511	0.573
CHMP3	PIKFYVE	9606.ENSP00000405575	9606.ENSP00000264380	0	0	0	0	0.064	0.056	0	0.643	0.657
CLK1	SRSF6	9606.ENSP00000394734	9606.ENSP00000244020	0	0	0	0	0.090	0.322	0	0.624	0.748
CLK1	EIF4E	9606.ENSP00000394734	9606.ENSP00000425561	0	0	0	0	0.082	0	0	0.412	0.437
CLK1	SRSF10	9606.ENSP00000394734	9606.ENSP00000420195	0	0	0	0	0.062	0.333	0	0.372	0.573
CLN8	WDR12	9606.ENSP00000328182	9606.ENSP00000261015	0	0	0	0	0	0	0	0.434	0.434
COL7A1	TRAPPC6A	9606.ENSP00000332371	9606.ENSP00000006275	0	0	0	0	0	0	0.600	0	0.600
COL7A1	PLOD1	9606.ENSP00000332371	9606.ENSP00000196061	0	0	0	0	0.115	0.144	0.600	0.175	0.717
COL7A1	ITGAV	9606.ENSP00000332371	9606.ENSP00000261023	0	0	0	0	0.099	0	0.900	0.266	0.928
COL7A1	TMED10	9606.ENSP00000332371	9606.ENSP00000303145	0	0	0	0	0	0	0.600	0	0.600
COL7A1	USO1	9606.ENSP00000332371	9606.ENSP00000444850	0	0	0	0	0	0	0.600	0	0.600
CTBP2	RBPJ	9606.ENSP00000311825	9606.ENSP00000345206	0	0	0	0	0.069	0.145	0.800	0.389	0.889
CTH	SORD	9606.ENSP00000359976	9606.ENSP00000267814	0.227	0	0	0	0.062	0	0	0.322	0.466
CTH	TSTD1	9606.ENSP00000359976	9606.ENSP00000388293	0.291	0	0	0	0	0	0	0.367	0.532
CXCR6	GRK6	9606.ENSP00000395704	9606.ENSP00000433511	0	0	0	0	0	0	0.600	0	0.600
DCTD	SLC43A2	9606.ENSP00000349576	9606.ENSP00000461382	0	0	0	0	0	0	0	0.598	0.598
DCTN6	PMEPA1	9606.ENSP00000221114	9606.ENSP00000345826	0	0	0	0	0	0.270	0	0.447	0.579
DCTN6	PAFAH1B1	9606.ENSP00000221114	9606.ENSP00000380378	0	0	0	0	0.062	0	0.900	0.229	0.921
DDI2	PSMD11	9606.ENSP00000417748	9606.ENSP00000261712	0	0	0	0	0.078	0.056	0	0.376	0.410
DDOST	PSME2	9606.ENSP00000399457	9606.ENSP00000216802	0	0	0	0	0.069	0.535	0	0.215	0.630
DDOST	SSR1	9606.ENSP00000399457	9606.ENSP00000244763	0	0	0	0	0.177	0.669	0.600	0.235	0.905
DDOST	TMED10	9606.ENSP00000399457	9606.ENSP00000303145	0	0	0	0	0.534	0.719	0	0.231	0.890
DDOST	SEC62	9606.ENSP00000399457	9606.ENSP00000337688	0	0	0	0	0.265	0.056	0	0.390	0.540
DDOST	SEC63	9606.ENSP00000399457	9606.ENSP00000357998	0	0	0	0	0.651	0.329	0	0.512	0.875
DDOST	SPOCK2	9606.ENSP00000399457	9606.ENSP00000362201	0	0	0	0	0	0	0	0.419	0.419
DDOST	PSME1	9606.ENSP00000399457	9606.ENSP00000372155	0	0	0	0	0.065	0.535	0	0.042	0.547
DDOST	PDIA6	9606.ENSP00000399457	9606.ENSP00000385385	0	0	0	0	0.785	0.115	0	0.369	0.870
DDOST	TMX1	9606.ENSP00000399457	9606.ENSP00000393316	0	0	0	0	0.116	0.252	0	0.181	0.411
DDOST	SEC11A	9606.ENSP00000399457	9606.ENSP00000452697	0	0	0	0	0.410	0	0	0.195	0.505
DHX29	EIF4E	9606.ENSP00000251636	9606.ENSP00000425561	0	0	0	0	0.065	0.057	0	0.583	0.601
DHX29	GPATCH2	9606.ENSP00000251636	9606.ENSP00000355902	0	0	0	0	0.084	0.212	0	0.507	0.613
DHX29	EIF3A	9606.ENSP00000251636	9606.ENSP00000358140	0	0	0	0	0.092	0.067	0.360	0.393	0.627
DNAJB5	ISOC1	9606.ENSP00000404079	9606.ENSP00000173527	0.045	0	0	0	0	0	0	0.640	0.642
DNAJB5	HSPE1	9606.ENSP00000404079	9606.ENSP00000233893	0	0	0	0	0.106	0.581	0	0.182	0.666
DNAJB5	GSPT1	9606.ENSP00000404079	9606.ENSP00000398131	0	0	0	0	0.062	0.242	0	0.295	0.454
DNAJB9	SEL1L	9606.ENSP00000249356	9606.ENSP00000337053	0.044	0	0	0	0.062	0.057	0	0.487	0.509
DNAJB9	ERO1LB	9606.ENSP00000249356	9606.ENSP00000346635	0	0	0	0	0.063	0	0	0.549	0.559
DNAJB9	PDIA6	9606.ENSP00000249356	9606.ENSP00000385385	0	0	0	0	0.062	0.118	0	0.527	0.574
DUSP23	PTS	9606.ENSP00000357087	9606.ENSP00000280362	0	0	0	0	0	0	0	0.559	0.559
ECHS1	ISOC1	9606.ENSP00000357535	9606.ENSP00000173527	0.042	0	0	0	0.107	0.356	0	0	0.400
ECHS1	IDH3A	9606.ENSP00000357535	9606.ENSP00000299518	0.051	0	0	0	0.131	0.129	0	0.584	0.661
ECHS1	SCP2	9606.ENSP00000357535	9606.ENSP00000360569	0	0	0	0	0.214	0.167	0	0.190	0.424
ECHS1	HADHA	9606.ENSP00000357535	9606.ENSP00000370023	0	0	0	0.691	0.176	0.253	0.900	0.687	0.947
ECHS1	HADH	9606.ENSP00000357535	9606.ENSP00000474560	0.072	0.790	0.282	0	0.506	0.369	0.900	0.669	0.998
ECI2	UBE3A	9606.ENSP00000369461	9606.ENSP00000232165	0	0	0	0	0.063	0.451	0	0.082	0.487
ECI2	PEX2	9606.ENSP00000369461	9606.ENSP00000349543	0	0	0	0	0.062	0	0.600	0.307	0.717
ECI2	SCP2	9606.ENSP00000369461	9606.ENSP00000360569	0	0	0	0	0.552	0.771	0.900	0.385	0.992
ECI2	HADH	9606.ENSP00000369461	9606.ENSP00000474560	0.156	0	0	0	0.197	0.145	0	0.337	0.565
ECI2	HADHA	9606.ENSP00000369461	9606.ENSP00000370023	0	0	0	0	0.138	0.337	0	0.513	0.697
ECI2	GSTK1	9606.ENSP00000369461	9606.ENSP00000431049	0	0	0	0	0.063	0	0.900	0.158	0.914
EEF1A1	PSMD11	9606.ENSP00000339063	9606.ENSP00000261712	0	0	0	0	0.899	0	0	0.071	0.902
EEF1A1	RPL15	9606.ENSP00000339063	9606.ENSP00000309334	0	0	0.301	0	0.934	0.865	0	0.294	0.995
EEF1A1	FARS2	9606.ENSP00000339063	9606.ENSP00000316335	0	0	0	0	0.069	0	0	0.720	0.729
EEF1A1	XPOT	9606.ENSP00000339063	9606.ENSP00000327821	0	0	0	0	0.152	0.215	0	0.483	0.626
EEF1A1	RPL17-C18orf32	9606.ENSP00000339063	9606.ENSP00000463379	0	0	0	0	0.361	0.159	0	0.129	0.491
EEF1A1	IARS	9606.ENSP00000339063	9606.ENSP00000364794	0	0	0	0	0.347	0	0	0.310	0.530
EEF1A1	ILF2	9606.ENSP00000339063	9606.ENSP00000355011	0	0	0	0	0.211	0.491	0	0.108	0.610
EEF1A1	EIF3A	9606.ENSP00000339063	9606.ENSP00000358140	0	0	0	0	0.510	0.074	0	0.227	0.619
EEF1A1	EIF4E	9606.ENSP00000339063	9606.ENSP00000425561	0	0	0	0	0.062	0.065	0	0.627	0.644
EEF1A1	RPL17	9606.ENSP00000339063	9606.ENSP00000397798	0	0	0	0	0.632	0.902	0	0.255	0.971
EEF1A1	RPLP0	9606.ENSP00000339063	9606.ENSP00000449328	0	0	0	0	0.939	0.889	0	0.535	0.996
EEF1A1	RPL3	9606.ENSP00000339063	9606.ENSP00000346001	0	0	0.318	0	0.952	0.896	0	0.554	0.998
EIF3A	IPO5	9606.ENSP00000358140	9606.ENSP00000261574	0	0	0	0	0.428	0	0	0.107	0.467
EIF3A	PSMD11	9606.ENSP00000358140	9606.ENSP00000261712	0	0	0	0	0.433	0	0	0.097	0.467
EIF3A	RPL15	9606.ENSP00000358140	9606.ENSP00000309334	0	0	0	0	0.515	0	0	0.088	0.539
EIF3A	RPL3	9606.ENSP00000358140	9606.ENSP00000346001	0	0	0	0	0.579	0	0	0.153	0.629
EIF3A	RPL17	9606.ENSP00000358140	9606.ENSP00000397798	0	0	0	0	0.450	0	0	0.101	0.485
EIF3A	SERBP1	9606.ENSP00000358140	9606.ENSP00000360034	0	0	0	0	0.287	0	0	0.328	0.501
EIF3A	RPLP0	9606.ENSP00000358140	9606.ENSP00000449328	0	0	0	0	0.558	0	0	0.255	0.657
EIF3A	IARS	9606.ENSP00000358140	9606.ENSP00000364794	0	0	0	0	0.692	0	0	0.104	0.712
EIF3A	GSPT1	9606.ENSP00000358140	9606.ENSP00000398131	0	0	0	0	0.661	0.111	0	0.260	0.757
EIF3A	EIF4E	9606.ENSP00000358140	9606.ENSP00000425561	0	0	0	0	0.095	0.496	0.900	0.622	0.980
EIF4E	SRSF6	9606.ENSP00000425561	9606.ENSP00000244020	0	0	0	0	0.089	0.165	0	0.307	0.427
EIF4E	G3BP2	9606.ENSP00000425561	9606.ENSP00000352738	0	0	0	0	0.156	0.058	0	0.369	0.455
EIF4E	UPF3A	9606.ENSP00000425561	9606.ENSP00000364448	0	0	0	0	0.062	0	0	0.566	0.576
EIF4E	GSPT1	9606.ENSP00000425561	9606.ENSP00000398131	0	0	0	0	0.146	0.140	0	0.473	0.579
ELL2	TCEA1	9606.ENSP00000237853	9606.ENSP00000428426	0	0	0	0	0	0	0	0.409	0.409
ELL2	PCSK1	9606.ENSP00000237853	9606.ENSP00000308024	0	0	0	0	0	0	0	0.475	0.475
EMC2	SPCS1	9606.ENSP00000220853	9606.ENSP00000478310	0	0	0	0	0.081	0.270	0	0.246	0.451
EMC2	UQCRC2	9606.ENSP00000220853	9606.ENSP00000268379	0	0	0	0	0.104	0.385	0	0.128	0.477
EMC2	SEC63	9606.ENSP00000220853	9606.ENSP00000357998	0	0	0	0	0.133	0.270	0	0.415	0.597
ENG	SERPINE1	9606.ENSP00000362299	9606.ENSP00000223095	0	0	0	0	0.124	0	0	0.476	0.521
ENG	ITGAV	9606.ENSP00000362299	9606.ENSP00000261023	0	0	0	0	0.083	0.101	0	0.600	0.641
ENG	PPARG	9606.ENSP00000362299	9606.ENSP00000287820	0	0	0	0	0.060	0	0	0.513	0.522
ENG	ITGA5	9606.ENSP00000362299	9606.ENSP00000293379	0	0	0	0	0.174	0.345	0	0.573	0.749
ENG	ITGAL	9606.ENSP00000362299	9606.ENSP00000349252	0	0	0	0	0.053	0.061	0	0.383	0.403
ENSP00000442453	SSR1	9606.ENSP00000442453	9606.ENSP00000244763	0	0	0	0	0.062	0	0	0.390	0.403
ENSP00000442453	PRDX4	9606.ENSP00000442453	9606.ENSP00000368646	0.045	0	0	0	0.062	0.838	0	0.234	0.874
ENSP00000442453	TXNDC5	9606.ENSP00000442453	9606.ENSP00000369081	0	0	0	0.986	0	0.800	0	0.561	0.801
ERO1LB	PCSK1	9606.ENSP00000346635	9606.ENSP00000308024	0	0	0	0	0	0	0	0.468	0.468
ERO1LB	SEC62	9606.ENSP00000346635	9606.ENSP00000337688	0	0	0	0	0.073	0.056	0	0.410	0.438
ERO1LB	SEC63	9606.ENSP00000346635	9606.ENSP00000357998	0	0	0	0	0.078	0.056	0	0.471	0.499
ERO1LB	PRDX4	9606.ENSP00000346635	9606.ENSP00000368646	0	0	0	0	0.063	0	0	0.626	0.635
ERO1LB	PVRL3	9606.ENSP00000346635	9606.ENSP00000418070	0	0	0	0	0	0.673	0	0	0.673
ERO1LB	PDIA6	9606.ENSP00000346635	9606.ENSP00000385385	0	0	0	0	0.064	0.167	0.600	0.396	0.786
ERO1LB	TXNDC5	9606.ENSP00000346635	9606.ENSP00000369081	0	0	0	0	0.064	0.167	0.600	0.606	0.860
EXOC1	RALA	9606.ENSP00000370695	9606.ENSP00000005257	0	0	0	0	0	0.213	0.600	0.687	0.892
FAM8A1	POMK	9606.ENSP00000259963	9606.ENSP00000331258	0	0	0	0	0	0	0	0.420	0.420
FAM8A1	SEL1L	9606.ENSP00000259963	9606.ENSP00000337053	0	0	0	0	0.062	0.485	0	0.738	0.862
FARS2	GALC	9606.ENSP00000316335	9606.ENSP00000261304	0	0	0	0	0	0	0	0.497	0.497
FARS2	SPAG9	9606.ENSP00000316335	9606.ENSP00000262013	0	0	0	0	0	0	0	0.517	0.517
FARS2	IARS	9606.ENSP00000316335	9606.ENSP00000364794	0.135	0	0	0	0.167	0.137	0	0.720	0.803
FGFR1	PIK3R2	9606.ENSP00000393312	9606.ENSP00000222254	0	0	0	0	0	0.309	0.800	0.240	0.885
FGFR1	LRRFIP1	9606.ENSP00000393312	9606.ENSP00000375857	0	0	0	0	0	0	0.500	0.143	0.553
FNDC3A	TM9SF2	9606.ENSP00000441831	9606.ENSP00000365567	0	0	0	0	0.118	0	0	0.354	0.406
G3BP2	USO1	9606.ENSP00000352738	9606.ENSP00000444850	0	0	0	0	0.138	0	0	0.333	0.400
G3BP2	LSM12	9606.ENSP00000352738	9606.ENSP00000466718	0	0	0	0	0.105	0.408	0	0.067	0.462
GALC	OLIG2	9606.ENSP00000261304	9606.ENSP00000331040	0	0	0	0	0	0	0	0.663	0.663
GALC	PPAP2B	9606.ENSP00000261304	9606.ENSP00000360296	0	0	0	0	0	0	0.900	0.105	0.906
GEM	SYNJ2	9606.ENSP00000297596	9606.ENSP00000347792	0	0	0	0	0.062	0.088	0	0.447	0.485
